observation_date,TRESEGUSM052N
1950-12-01,1445.50000000000
1951-01-01,
1951-02-01,
1951-03-01,
1951-04-01,
1951-05-01,
1951-06-01,
1951-07-01,
1951-08-01,
1951-09-01,
1951-10-01,
1951-11-01,
1951-12-01,1425.60000000000
1952-01-01,
1952-02-01,
1952-03-01,
1952-04-01,
1952-05-01,
1952-06-01,
1952-07-01,
1952-08-01,
1952-09-01,
1952-10-01,
1952-11-01,
1952-12-01,1461.90000000000
1953-01-01,
1953-02-01,
1953-03-01,
1953-04-01,
1953-05-01,
1953-06-01,
1953-07-01,
1953-08-01,
1953-09-01,
1953-10-01,
1953-11-01,
1953-12-01,1367.10000000000
1954-01-01,
1954-02-01,
1954-03-01,
1954-04-01,
1954-05-01,
1954-06-01,
1954-07-01,
1954-08-01,
1954-09-01,
1954-10-01,
1954-11-01,
1954-12-01,1185.20000000000
1955-01-01,
1955-02-01,
1955-03-01,
1955-04-01,
1955-05-01,
1955-06-01,
1955-07-01,
1955-08-01,
1955-09-01,
1955-10-01,
1955-11-01,
1955-12-01,1044.20000000000
1956-01-01,
1956-02-01,
1956-03-01,
1956-04-01,
1956-05-01,
1956-06-01,
1956-07-01,
1956-08-01,
1956-09-01,
1956-10-01,
1956-11-01,
1956-12-01,1607.60000000000
1957-01-01,1327.20000000000
1957-02-01,1459.70000000000
1957-03-01,1587.60000000000
1957-04-01,1773.00000000000
1957-05-01,1535.50000000000
1957-06-01,1649.30000000000
1957-07-01,1758.20000000000
1957-08-01,1806.50000000000
1957-09-01,1898.10000000000
1957-10-01,1939.00000000000
1957-11-01,1964.40000000000
1957-12-01,1975.00000000000
1958-01-01,1981.40000000000
1958-02-01,1993.70000000000
1958-03-01,2041.80000000000
1958-04-01,2054.10000000000
1958-05-01,2029.10000000000
1958-06-01,2084.40000000000
1958-07-01,2086.30000000000
1958-08-01,2099.50000000000
1958-09-01,2031.30000000000
1958-10-01,2032.90000000000
1958-11-01,1961.90000000000
1958-12-01,1957.70000000000
1959-01-01,1969.90000000000
1959-02-01,1961.30000000000
1959-03-01,1792.60000000000
1959-04-01,1799.40000000000
1959-05-01,1786.90000000000
1959-06-01,1767.60000000000
1959-07-01,1751.60000000000
1959-08-01,1779.40000000000
1959-09-01,2085.00000000000
1959-10-01,2096.80000000000
1959-11-01,2013.70000000000
1959-12-01,1997.50000000000
1960-01-01,1984.10000000000
1960-02-01,1924.70000000000
1960-03-01,1887.70000000000
1960-04-01,1875.00000000000
1960-05-01,1839.30000000000
1960-06-01,1806.80000000000
1960-07-01,1811.40000000000
1960-08-01,1758.40000000000
1960-09-01,1705.00000000000
1960-10-01,1625.20000000000
1960-11-01,1610.20000000000
1960-12-01,1554.80000000000
1961-01-01,1576.20000000000
1961-02-01,1566.00000000000
1961-03-01,1555.20000000000
1961-04-01,1730.10000000000
1961-05-01,1745.90000000000
1961-06-01,1704.90000000000
1961-07-01,1644.60000000000
1961-08-01,2111.50000000000
1961-09-01,2063.90000000000
1961-10-01,1840.90000000000
1961-11-01,1806.90000000000
1961-12-01,1805.90000000000
1962-01-01,1802.80000000000
1962-02-01,1717.00000000000
1962-03-01,1685.70000000000
1962-04-01,1673.40000000000
1962-05-01,1666.50000000000
