Date,Value,ChangePercentMonth,ChangePercentYear
1954-07,2.89,,
1954-08,2.87,-0.00692,
1954-09,2.89,0.006969,
1954-10,2.87,-0.00692,
1954-11,2.89,0.006969,
1954-12,2.9,0.00346,
1955-01,2.93,0.010345,
1955-02,2.93,0.0,
1955-03,3.02,0.030717,
1955-04,3.01,-0.003311,
1955-05,3.04,0.009967,
1955-06,3.05,0.003289,
1955-07,3.06,0.003279,0.058824
1955-08,3.11,0.01634,0.083624
1955-09,3.13,0.006431,0.083045
1955-10,3.1,-0.009585,0.080139
1955-11,3.1,0.0,0.072664
1955-12,3.15,0.016129,0.086207
1956-01,3.11,-0.012698,0.061433
1956-02,3.08,-0.009646,0.051195
1956-03,3.1,0.006494,0.02649
1956-04,3.24,0.045161,0.076412
1956-05,3.28,0.012346,0.078947
1956-06,3.26,-0.006098,0.068852
1956-07,3.28,0.006135,0.071895
1956-08,3.43,0.045732,0.102894
1956-09,3.56,0.037901,0.13738
1956-10,3.59,0.008427,0.158065
1956-11,3.69,0.027855,0.190323
1956-12,3.75,0.01626,0.190476
1957-01,3.77,0.005333,0.212219
1957-02,3.67,-0.026525,0.191558
1957-03,3.66,-0.002725,0.180645
1957-04,3.67,0.002732,0.132716
1957-05,3.74,0.019074,0.140244
1957-06,3.91,0.045455,0.199387
1957-07,3.99,0.02046,0.216463
1957-08,4.1,0.027569,0.195335
1957-09,4.12,0.004878,0.157303
1957-10,4.1,-0.004854,0.142061
1957-11,4.08,-0.004878,0.105691
1957-12,3.81,-0.066176,0.016
1958-01,3.6,-0.055118,-0.045093
1958-02,3.59,-0.002778,-0.021798
1958-03,3.63,0.011142,-0.008197
1958-04,3.6,-0.008264,-0.019074
1958-05,3.57,-0.008333,-0.045455
1958-06,3.57,0.0,-0.086957
1958-07,3.67,0.028011,-0.080201
1958-08,3.85,0.049046,-0.060976
1958-09,4.09,0.062338,-0.007282
1958-10,4.11,0.00489,0.002439
1958-11,4.09,-0.004866,0.002451
1958-12,4.08,-0.002445,0.070866
1959-01,4.12,0.009804,0.144444
1959-02,4.14,0.004854,0.153203
1959-03,4.13,-0.002415,0.137741
1959-04,4.23,0.024213,0.175
1959-05,4.37,0.033097,0.22409
1959-06,4.46,0.020595,0.2493
1959-07,4.47,0.002242,0.217984
1959-08,4.43,-0.008949,0.150649
1959-09,4.52,0.020316,0.105134
1959-10,4.57,0.011062,0.111922
1959-11,4.56,-0.002188,0.114914
1959-12,4.58,0.004386,0.122549
1960-01,4.61,0.00655,0.118932
1960-02,4.56,-0.010846,0.101449
1960-03,4.49,-0.015351,0.087167
1960-04,4.45,-0.008909,0.052009
1960-05,4.46,0.002247,0.020595
1960-06,4.45,-0.002242,-0.002242
1960-07,4.41,-0.008989,-0.013423
1960-08,4.28,-0.029478,-0.03386
1960-09,4.25,-0.007009,-0.059735
1960-10,4.3,0.011765,-0.059081
1960-11,4.31,0.002326,-0.054825
1960-12,4.35,0.009281,-0.050218
1961-01,4.32,-0.006897,-0.062907
1961-02,4.27,-0.011574,-0.063596
1961-03,4.22,-0.01171,-0.060134
1961-04,4.25,0.007109,-0.044944
1961-05,4.27,0.004706,-0.042601
1961-06,4.33,0.014052,-0.026966
1961-07,4.41,0.018476,0.0
1961-08,4.45,0.00907,0.03972
1961-09,4.45,0.0,0.047059
1961-10,4.42,-0.006742,0.027907
1961-11,4.39,-0.006787,0.018561
1961-12,4.42,0.006834,0.016092
1962-01,4.42,0.0,0.023148
1962-02,4.42,0.0,0.035129
1962-03,4.39,-0.006787,0.040284
1962-04,4.33,-0.013667,0.018824
1962-05,4.28,-0.011547,0.002342
1962-06,4.28,0.0,-0.011547
1962-07,4.34,0.014019,-0.015873
1962-08,4.35,0.002304,-0.022472
1962-09,4.32,-0.006897,-0.029213
1962-10,4.28,-0.009259,-0.031674
1962-11,4.25,-0.007009,-0.031891
1962-12,4.24,-0.002353,-0.040724
1963-01,4.21,-0.007075,-0.047511
1963-02,4.19,-0.004751,-0.052036
1963-03,4.19,0.0,-0.045558
1963-04,4.21,0.004773,-0.027714
1963-05,4.22,0.002375,-0.014019
1963-06,4.23,0.00237,-0.011682
1963-07,4.26,0.007092,-0.018433
1963-08,4.29,0.007042,-0.013793
1963-09,4.31,0.004662,-0.002315
1963-10,4.32,0.00232,0.009346
1963-11,4.33,0.002315,0.018824
1963-12,4.35,0.004619,0.025943
1964-01,4.39,0.009195,0.042755
1964-02,4.36,-0.006834,0.040573
1964-03,4.38,0.004587,0.045346
1964-04,4.4,0.004566,0.045131
1964-05,4.41,0.002273,0.045024
1964-06,4.41,0.0,0.042553
1964-07,4.4,-0.002268,0.032864
1964-08,4.41,0.002273,0.027972
1964-09,4.42,0.002268,0.025522
1964-10,4.42,0.0,0.023148
1964-11,4.43,0.002262,0.023095
1964-12,4.44,0.002257,0.02069
1965-01,4.43,-0.002252,0.009112
1965-02,4.41,-0.004515,0.011468
1965-03,4.42,0.002268,0.009132
1965-04,4.43,0.002262,0.006818
1965-05,4.44,0.002257,0.006803
1965-06,4.46,0.004505,0.011338
1965-07,4.48,0.004484,0.018182
1965-08,4.49,0.002232,0.018141
1965-09,4.52,0.006682,0.022624
1965-10,4.56,0.00885,0.031674
1965-11,4.6,0.008772,0.038375
1965-12,4.68,0.017391,0.054054
1966-01,4.74,0.012821,0.069977
1966-02,4.78,0.008439,0.0839
1966-03,4.92,0.029289,0.113122
1966-04,4.96,0.00813,0.119639
1966-05,4.98,0.004032,0.121622
1966-06,5.07,0.018072,0.136771
1966-07,5.16,0.017751,0.151786
1966-08,5.31,0.02907,0.182628
1966-09,5.49,0.033898,0.214602
1966-10,5.41,-0.014572,0.186404
1966-11,5.35,-0.011091,0.163043
1966-12,5.39,0.007477,0.151709
1967-01,5.2,-0.03525,0.097046
1967-02,5.03,-0.032692,0.052301
1967-03,5.13,0.019881,0.042683
1967-04,5.11,-0.003899,0.030242
1967-05,5.24,0.02544,0.052209
1967-06,5.44,0.038168,0.072978
1967-07,5.58,0.025735,0.081395
1967-08,5.62,0.007168,0.05838
1967-09,5.65,0.005338,0.029144
1967-10,5.82,0.030088,0.075786
1967-11,6.07,0.042955,0.134579
1967-12,6.19,0.019769,0.148423
1968-01,6.17,-0.003231,0.186538
1968-02,6.1,-0.011345,0.212724
1968-03,6.11,0.001639,0.191033
1968-04,6.21,0.016367,0.215264
1968-05,6.27,0.009662,0.196565
1968-06,6.28,0.001595,0.154412
1968-07,6.24,-0.006369,0.11828
1968-08,6.02,-0.035256,0.071174
1968-09,5.97,-0.008306,0.056637
1968-10,6.09,0.020101,0.046392
1968-11,6.19,0.01642,0.019769
1968-12,6.45,0.042003,0.042003
1969-01,6.59,0.021705,0.068071
1969-02,6.66,0.010622,0.091803
1969-03,6.85,0.028529,0.121113
1969-04,6.89,0.005839,0.109501
1969-05,6.79,-0.014514,0.082935
1969-06,6.98,0.027982,0.111465
1969-07,7.08,0.014327,0.134615
1969-08,6.97,-0.015537,0.157807
1969-09,7.14,0.02439,0.19598
1969-10,7.33,0.026611,0.203612
1969-11,7.35,0.002729,0.187399
1969-12,7.72,0.05034,0.196899
1970-01,7.91,0.024611,0.200303
1970-02,7.93,0.002528,0.190691
1970-03,7.84,-0.011349,0.144526
1970-04,7.83,-0.001276,0.13643
1970-05,8.11,0.03576,0.194404
1970-06,8.48,0.045623,0.2149
1970-07,8.44,-0.004717,0.19209
1970-08,8.13,-0.03673,0.166428
1970-09,8.09,-0.00492,0.133053
1970-10,8.03,-0.007417,0.095498
1970-11,8.05,0.002491,0.095238
1970-12,7.64,-0.050932,-0.010363
1971-01,7.36,-0.036649,-0.069532
1971-02,7.08,-0.038043,-0.107188
1971-03,7.21,0.018362,-0.080357
1971-04,7.25,0.005548,-0.074074
1971-05,7.53,0.038621,-0.071517
1971-06,7.64,0.014608,-0.099057
1971-07,7.64,0.0,-0.094787
1971-08,7.59,-0.006545,-0.066421
1971-09,7.44,-0.019763,-0.080346
1971-10,7.39,-0.00672,-0.079701
1971-11,7.26,-0.017591,-0.098137
1971-12,7.25,-0.001377,-0.051047
1972-01,7.19,-0.008276,-0.023098
1972-02,7.27,0.011127,0.026836
1972-03,7.24,-0.004127,0.004161
1972-04,7.3,0.008287,0.006897
1972-05,7.3,0.0,-0.030544
1972-06,7.23,-0.009589,-0.053665
1972-07,7.21,-0.002766,-0.056283
1972-08,7.19,-0.002774,-0.052701
1972-09,7.22,0.004172,-0.02957
1972-10,7.21,-0.001385,-0.024357
1972-11,7.12,-0.012483,-0.019284
1972-12,7.08,-0.005618,-0.023448
1973-01,7.15,0.009887,-0.005563
1973-02,7.22,0.00979,-0.006878
1973-03,7.29,0.009695,0.006906
1973-04,7.26,-0.004115,-0.005479
1973-05,7.29,0.004132,-0.00137
1973-06,7.37,0.010974,0.019364
1973-07,7.45,0.010855,0.033287
1973-08,7.68,0.030872,0.06815
1973-09,7.63,-0.00651,0.056787
1973-10,7.6,-0.003932,0.054092
1973-11,7.67,0.009211,0.077247
1973-12,7.68,0.001304,0.084746
1974-01,7.83,0.019531,0.095105
1974-02,7.85,0.002554,0.087258
1974-03,8.01,0.020382,0.098765
1974-04,8.25,0.029963,0.136364
1974-05,8.37,0.014545,0.148148
1974-06,8.47,0.011947,0.149254
1974-07,8.72,0.029516,0.17047
1974-08,9.0,0.03211,0.171875
1974-09,9.24,0.026667,0.211009
1974-10,9.27,0.003247,0.219737
1974-11,8.89,-0.040992,0.159061
1974-12,8.89,0.0,0.157552
1975-01,8.83,-0.006749,0.127714
1975-02,8.62,-0.023783,0.098089
1975-03,8.67,0.0058,0.082397
1975-04,8.95,0.032295,0.084848
1975-05,8.9,-0.005587,0.063321
1975-06,8.77,-0.014607,0.035419
1975-07,8.84,0.007982,0.013761
1975-08,8.95,0.012443,-0.005556
1975-09,8.95,0.0,-0.031385
1975-10,8.86,-0.010056,-0.044229
1975-11,8.78,-0.009029,-0.012373
1975-12,8.79,0.001139,-0.011249
1976-01,8.6,-0.021615,-0.026048
1976-02,8.55,-0.005814,-0.008121
1976-03,8.52,-0.003509,-0.017301
1976-04,8.4,-0.014085,-0.061453
1976-05,8.58,0.021429,-0.035955
1976-06,8.62,0.004662,-0.017104
1976-07,8.56,-0.006961,-0.031674
1976-08,8.45,-0.01285,-0.055866
1976-09,8.38,-0.008284,-0.063687
1976-10,8.32,-0.00716,-0.060948
1976-11,8.25,-0.008413,-0.060364
1976-12,7.98,-0.032727,-0.09215
1977-01,7.96,-0.002506,-0.074419
1977-02,8.04,0.01005,-0.059649
1977-03,8.1,0.007463,-0.049296
1977-04,8.04,-0.007407,-0.042857
1977-05,8.05,0.001244,-0.061772
1977-06,7.95,-0.012422,-0.077726
