Date,Value,ChangePercentMonth,ChangePercentYear
1972-02,0.5875576036866359,,
1972-03,,0.0,
1972-04,,0.0,
1972-05,0.5737327188940092,-0.023529,
1972-06,,0.0,
1972-07,,0.0,
1972-08,0.5771889400921659,0.006024,
1972-09,,0.0,
1972-10,,0.0,
1972-11,0.5771889400921659,0.0,
1972-12,,0.0,
1973-01,,0.0,
1973-02,0.5789170506912443,0.002994,-0.014706
1973-03,,0.0,-0.014706
1973-04,,0.0,-0.014706
1973-05,0.5789170506912443,0.0,0.009036
1973-06,,0.0,0.009036
1973-07,,0.0,0.009036
1973-08,0.5904377880184332,0.0199,0.022954
1973-09,,0.0,0.022954
1973-10,,0.0,0.022954
1973-11,0.6042626728110599,0.023415,0.046906
1973-12,,0.0,0.046906
1974-01,,0.0,0.046906
1974-02,0.6065668202764977,0.003813,0.047761
1974-03,,0.0,0.047761
1974-04,,0.0,0.047761
1974-05,0.6123271889400922,0.009497,0.057711
1974-06,,0.0,0.057711
1974-07,,0.0,0.057711
1974-08,0.6422811059907835,0.048918,0.087805
1974-09,,0.0,0.087805
1974-10,,0.0,0.087805
1974-11,0.6664746543778802,0.037668,0.102955
1974-12,,0.0,0.102955
1975-01,,0.0,0.102955
1975-02,0.6630184331797235,-0.005186,0.093067
1975-03,,0.0,0.093067
1975-04,,0.0,0.093067
1975-05,0.6561059907834101,-0.010426,0.071496
1975-06,,0.0,0.071496
1975-07,,0.0,0.071496
1975-08,0.6514976958525346,-0.007024,0.01435
1975-09,,0.0,0.01435
1975-10,,0.0,0.01435
1975-11,0.6474654377880185,-0.006189,-0.028522
1975-12,,0.0,-0.028522
1976-01,,0.0,-0.028522
1976-02,0.6440092165898618,-0.005338,-0.028671
1976-03,,0.0,-0.028671
1976-04,,0.0,-0.028671
1976-05,0.6342165898617511,-0.015206,-0.033363
1976-06,,0.0,-0.033363
1976-07,,0.0,-0.033363
1976-08,0.6376728110599079,0.00545,-0.02122
1976-09,,0.0,-0.02122
1976-10,,0.0,-0.02122
1976-11,0.6347926267281105,-0.004517,-0.019573
1976-12,,0.0,-0.019573
1977-01,,0.0,-0.019573
1977-02,0.641705069124424,0.010889,-0.003578
1977-03,,0.0,-0.003578
1977-04,,0.0,-0.003578
1977-05,0.6226958525345623,-0.029623,-0.018165
1977-06,,0.0,-0.018165
1977-07,,0.0,-0.018165
1977-08,0.6255760368663594,0.004625,-0.01897
1977-09,,0.0,-0.01897
1977-10,,0.0,-0.01897
1977-11,0.6255760368663594,0.0,-0.014519
1977-12,,0.0,-0.014519
1978-01,,0.0,-0.014519
1978-02,0.6255760368663594,0.0,-0.025135
1978-03,,0.0,-0.025135
1978-04,,0.0,-0.025135
1978-05,0.6244239631336406,-0.001842,0.002775
1978-06,,0.0,0.002775
1978-07,,0.0,0.002775
1978-08,0.6388248847926268,0.023063,0.021179
1978-09,,0.0,0.021179
1978-10,,0.0,0.021179
1978-11,0.6503456221198156,0.018034,0.039595
1978-12,,0.0,0.039595
1979-01,,0.0,0.039595
1979-02,0.6682027649769585,0.027458,0.06814
1979-03,,0.0,0.06814
1979-04,,0.0,0.06814
1979-05,0.6756912442396313,0.011207,0.082103
1979-06,,0.0,0.082103
1979-07,,0.0,0.082103
1979-08,0.6843317972350231,0.012788,0.071235
1979-09,,0.0,0.071235
1979-10,,0.0,0.071235
1979-11,0.7402073732718895,0.08165,0.138175
1979-12,,0.0,0.138175
1980-01,,0.0,0.138175
1980-02,0.7649769585253456,0.033463,0.144828
1980-03,,0.0,0.144828
1980-04,,0.0,0.144828
1980-05,0.9055299539170507,0.183735,0.340153
1980-06,,0.0,0.340153
1980-07,,0.0,0.340153
1980-08,0.8012672811059908,-0.11514,0.170875
1980-09,,0.0,0.170875
1980-10,,0.0,0.170875
1980-11,0.8231566820276498,0.027318,0.112062
1980-12,,0.0,0.112062
1981-01,,0.0,0.112062
1981-02,0.9124423963133641,0.108467,0.192771
1981-03,,0.0,0.192771
1981-04,,0.0,0.192771
1981-05,0.9239631336405529,0.012626,0.020356
1981-06,,0.0,0.020356
1981-07,,0.0,0.020356
1981-08,0.9746543778801845,0.054863,0.216391
1981-09,,0.0,0.216391
1981-10,,0.0,0.216391
1981-11,1.0,0.026005,0.214836
1981-12,,0.0,0.214836
1982-01,,0.0,0.214836
1982-02,0.9821428571428572,-0.017857,0.076389
1982-03,,0.0,0.076389
1982-04,,0.0,0.076389
1982-05,0.9907834101382489,0.008798,0.072319
1982-06,,0.0,0.072319
1982-07,,0.0,0.072319
1982-08,0.9838709677419354,-0.006977,0.009456
1982-09,,0.0,0.009456
1982-10,,0.0,0.009456
1982-11,0.9199308755760369,-0.064988,-0.080069
1982-12,,0.0,-0.080069
1983-01,,0.0,-0.080069
1983-02,0.8531105990783411,-0.072636,-0.131378
1983-03,,0.0,-0.131378
1983-04,,0.0,-0.131378
1983-05,0.8006912442396313,-0.061445,-0.19186
1983-06,,0.0,-0.19186
1983-07,,0.0,-0.19186
1983-08,0.7776497695852534,-0.028777,-0.209602
1983-09,,0.0,-0.209602
1983-10,,0.0,-0.209602
1983-11,0.7753456221198157,-0.002963,-0.15717
1983-12,,0.0,-0.15717
1984-01,,0.0,-0.15717
1984-02,0.7672811059907835,-0.010401,-0.100608
1984-03,,0.0,-0.100608
1984-04,,0.0,-0.100608
1984-05,0.7793778801843317,0.015766,-0.026619
1984-06,,0.0,-0.026619
1984-07,,0.0,-0.026619
1984-08,0.8110599078341014,0.04065,0.042963
1984-09,,0.0,0.042963
1984-10,,0.0,0.042963
1984-11,0.8012672811059908,-0.012074,0.033432
1984-12,,0.0,0.033432
1985-01,,0.0,0.033432
1985-02,0.7701612903225806,-0.038821,0.003754
1985-03,,0.0,0.003754
1985-04,,0.0,0.003754
1985-05,0.7580645161290323,-0.015707,-0.027347
1985-06,,0.0,-0.027347
1985-07,,0.0,-0.027347
1985-08,0.7327188940092166,-0.033435,-0.096591
1985-09,,0.0,-0.096591
1985-10,,0.0,-0.096591
1985-11,0.7137096774193549,-0.025943,-0.109274
1985-12,,0.0,-0.109274
1986-01,,0.0,-0.109274
1986-02,0.7079493087557603,-0.008071,-0.080778
1986-03,,0.0,-0.080778
1986-04,,0.0,-0.080778
1986-05,0.6595622119815668,-0.068348,-0.129939
1986-06,,0.0,-0.129939
1986-07,,0.0,-0.129939
1986-08,0.6336405529953917,-0.039301,-0.13522
1986-09,,0.0,-0.13522
1986-10,,0.0,-0.13522
1986-11,0.6094470046082949,-0.038182,-0.146086
1986-12,,0.0,-0.146086
1987-01,,0.0,-0.146086
1987-02,0.5961981566820277,-0.021739,-0.157852
1987-03,,0.0,-0.157852
1987-04,,0.0,-0.157852
1987-05,0.5892857142857143,-0.011594,-0.10655
1987-06,,0.0,-0.10655
1987-07,,0.0,-0.10655
1987-08,0.5973502304147466,0.013685,-0.057273
1987-09,,0.0,-0.057273
1987-10,,0.0,-0.057273
1987-11,0.6255760368663594,0.047252,0.026465
1987-12,,0.0,0.026465
1988-01,,0.0,0.026465
1988-02,0.6175115207373273,-0.012891,0.035749
1988-03,,0.0,0.035749
1988-04,,0.0,0.035749
1988-05,0.6077188940092166,-0.015858,0.031281
1988-06,,0.0,0.031281
1988-07,,0.0,0.031281
1988-08,0.6296082949308756,0.036019,0.054002
1988-09,,0.0,0.054002
1988-10,,0.0,0.054002
1988-11,0.6463133640552996,0.026532,0.033149
1988-12,,0.0,0.033149
1989-01,,0.0,0.033149
1989-02,0.6774193548387097,0.048128,0.097015
1989-03,,0.0,0.097015
1989-04,,0.0,0.097015
1989-05,0.716589861751152,0.057823,0.179147
1989-06,,0.0,0.179147
1989-07,,0.0,0.179147
1989-08,0.6987327188940092,-0.02492,0.10979
1989-09,,0.0,0.10979
1989-10,,0.0,0.10979
1989-11,0.6877880184331797,-0.015664,0.064171
1989-12,,0.0,0.064171
1990-01,,0.0,0.064171
1990-02,0.6797235023041476,-0.011725,0.003401
1990-03,,0.0,0.003401
1990-04,,0.0,0.003401
1990-05,0.6808755760368664,0.001695,-0.049839
1990-06,,0.0,-0.049839
1990-07,,0.0,-0.049839
1990-08,0.6849078341013826,0.005922,-0.019786
1990-09,,0.0,-0.019786
1990-10,,0.0,-0.019786
1990-11,0.6693548387096774,-0.022708,-0.026801
1990-12,,0.0,-0.026801
1991-01,,0.0,-0.026801
1991-02,0.6682027649769585,-0.001721,-0.016949
1991-03,,0.0,-0.016949
1991-04,,0.0,-0.016949
1991-05,0.6497695852534562,-0.027586,-0.045685
1991-06,,0.0,-0.045685
1991-07,,0.0,-0.045685
1991-08,0.6370967741935485,-0.019504,-0.069807
1991-09,,0.0,-0.069807
1991-10,,0.0,-0.069807
1991-11,0.6111751152073732,-0.040687,-0.086919
1991-12,,0.0,-0.086919
1992-01,,0.0,-0.086919
1992-02,0.5697004608294931,-0.067861,-0.147414
1992-03,,0.0,-0.147414
1992-04,,0.0,-0.147414
1992-05,0.5483870967741935,-0.037412,-0.156028
1992-06,,0.0,-0.156028
1992-07,,0.0,-0.156028
1992-08,0.527073732718894,-0.038866,-0.172694
1992-09,,0.0,-0.172694
1992-10,,0.0,-0.172694
1992-11,0.49539170506912444,-0.060109,-0.189444
1992-12,,0.0,-0.189444
1993-01,,0.0,-0.189444
1993-02,0.4936635944700461,-0.003488,-0.133468
1993-03,,0.0,-0.133468
