Date,Value,ChangePercentMonth,ChangePercentYear
1954-07,1.5,,
1954-08,1.5,0.0,
1954-09,1.5,0.0,
1954-10,1.5,0.0,
1954-11,1.5,0.0,
1954-12,1.5,0.0,
1955-01,1.5,0.0,
1955-02,1.5,0.0,
1955-03,1.5,0.0,
1955-04,1.5,0.0,
1955-05,1.63,0.086667,
1955-06,1.75,0.07362,
1955-07,1.75,0.0,0.166667
1955-08,1.75,0.0,0.166667
1955-09,1.97,0.125714,0.313333
1955-10,2.18,0.106599,0.453333
1955-11,2.25,0.03211,0.5
1955-12,2.36,0.048889,0.573333
1956-01,2.5,0.059322,0.666667
1956-02,2.5,0.0,0.666667
1956-03,2.5,0.0,0.666667
1956-04,2.5,0.0,0.666667
1956-05,2.65,0.06,0.625767
1956-06,2.75,0.037736,0.571429
1956-07,2.75,0.0,0.571429
1956-08,2.75,0.0,0.571429
1956-09,2.81,0.021818,0.426396
1956-10,3.0,0.067616,0.376147
1956-11,3.0,0.0,0.333333
1956-12,3.0,0.0,0.271186
1957-01,3.0,0.0,0.2
1957-02,3.0,0.0,0.2
1957-03,3.0,0.0,0.2
1957-04,3.0,0.0,0.2
1957-05,3.0,0.0,0.132075
1957-06,3.0,0.0,0.090909
1957-07,3.0,0.0,0.090909
1957-08,3.0,0.0,0.090909
1957-09,3.15,0.05,0.120996
1957-10,3.5,0.111111,0.166667
1957-11,3.5,0.0,0.166667
1957-12,3.23,-0.077143,0.076667
1958-01,3.0,-0.071207,0.0
1958-02,2.94,-0.02,-0.02
1958-03,2.75,-0.064626,-0.083333
1958-04,2.35,-0.145455,-0.216667
1958-05,2.03,-0.13617,-0.323333
1958-06,1.75,-0.137931,-0.416667
1958-07,1.75,0.0,-0.416667
1958-08,1.75,0.0,-0.416667
1958-09,1.75,0.0,-0.444444
1958-10,1.91,0.091429,-0.454286
1958-11,2.0,0.04712,-0.428571
1958-12,2.4,0.2,-0.256966
1959-01,2.5,0.041667,-0.166667
1959-02,2.5,0.0,-0.14966
1959-03,2.5,0.0,-0.090909
1959-04,2.92,0.168,0.242553
1959-05,3.0,0.027397,0.477833
1959-06,3.05,0.016667,0.742857
1959-07,3.5,0.147541,1.0
1959-08,3.5,0.0,1.0
1959-09,3.5,0.0,1.0
1959-10,3.83,0.094286,1.005236
1959-11,4.0,0.044386,1.0
1959-12,4.0,0.0,0.666667
1960-01,4.0,0.0,0.6
1960-02,4.0,0.0,0.6
1960-03,4.0,0.0,0.6
1960-04,4.0,0.0,0.369863
1960-05,4.0,0.0,0.333333
1960-06,4.0,0.0,0.311475
1960-07,3.65,-0.0875,0.042857
1960-08,3.5,-0.041096,0.0
1960-09,3.18,-0.091429,-0.091429
1960-10,3.0,-0.056604,-0.21671
1960-11,3.0,0.0,-0.25
1960-12,3.0,0.0,-0.25
1961-01,3.0,0.0,-0.25
1961-02,3.0,0.0,-0.25
1961-03,3.0,0.0,-0.25
1961-04,3.0,0.0,-0.25
1961-05,3.0,0.0,-0.25
1961-06,3.0,0.0,-0.25
1961-07,3.0,0.0,-0.178082
1961-08,3.0,0.0,-0.142857
1961-09,3.0,0.0,-0.056604
1961-10,3.0,0.0,0.0
1961-11,3.0,0.0,0.0
1961-12,3.0,0.0,0.0
1962-01,3.0,0.0,0.0
1962-02,3.0,0.0,0.0
1962-03,3.0,0.0,0.0
1962-04,3.0,0.0,0.0
1962-05,3.0,0.0,0.0
1962-06,3.0,0.0,0.0
1962-07,3.0,0.0,0.0
1962-08,3.0,0.0,0.0
1962-09,3.0,0.0,0.0
1962-10,3.0,0.0,0.0
1962-11,3.0,0.0,0.0
1962-12,3.0,0.0,0.0
1963-01,3.0,0.0,0.0
1963-02,3.0,0.0,0.0
1963-03,3.0,0.0,0.0
1963-04,3.0,0.0,0.0
1963-05,3.0,0.0,0.0
1963-06,3.0,0.0,0.0
1963-07,3.0,0.0,0.0
1963-08,3.24,0.08,0.08
1963-09,3.5,0.080247,0.166667
1963-10,3.5,0.0,0.166667
1963-11,3.5,0.0,0.166667
1963-12,3.5,0.0,0.166667
1964-01,3.5,0.0,0.166667
1964-02,3.5,0.0,0.166667
1964-03,3.5,0.0,0.166667
1964-04,3.5,0.0,0.166667
1964-05,3.5,0.0,0.166667
1964-06,3.5,0.0,0.166667
1964-07,3.5,0.0,0.166667
1964-08,3.5,0.0,0.080247
1964-09,3.5,0.0,0.0
1964-10,3.5,0.0,0.0
1964-11,3.5,0.0,0.0
1964-12,3.62,0.034286,0.034286
1965-01,4.0,0.104972,0.142857
1965-02,4.0,0.0,0.142857
1965-03,4.0,0.0,0.142857
1965-04,4.0,0.0,0.142857
1965-05,4.0,0.0,0.142857
1965-06,4.0,0.0,0.142857
1965-07,4.0,0.0,0.142857
1965-08,4.0,0.0,0.142857
1965-09,4.0,0.0,0.142857
1965-10,4.0,0.0,0.142857
1965-11,4.0,0.0,0.142857
1965-12,4.0,0.0,0.104972
1966-01,4.42,0.105,0.105
1966-02,4.5,0.0181,0.125
1966-03,4.5,0.0,0.125
1966-04,4.5,0.0,0.125
1966-05,4.5,0.0,0.125
1966-06,4.5,0.0,0.125
1966-07,4.5,0.0,0.125
1966-08,4.5,0.0,0.125
1966-09,4.5,0.0,0.125
1966-10,4.5,0.0,0.125
1966-11,4.5,0.0,0.125
1966-12,4.5,0.0,0.125
1967-01,4.5,0.0,0.0181
1967-02,4.5,0.0,0.0
1967-03,4.5,0.0,0.0
1967-04,4.5,0.0,0.0
1967-05,4.1,-0.088889,-0.088889
1967-06,4.0,-0.02439,-0.111111
1967-07,4.0,0.0,-0.111111
1967-08,4.0,0.0,-0.111111
1967-09,4.0,0.0,-0.111111
1967-10,4.0,0.0,-0.111111
1967-11,4.0,0.0,-0.111111
1967-12,4.18,0.045,-0.071111
1968-01,4.5,0.076555,0.0
1968-02,4.5,0.0,0.0
1968-03,4.5,0.0,0.0
1968-04,4.66,0.035556,0.035556
1968-05,5.2,0.11588,0.268293
1968-06,5.5,0.057692,0.375
1968-07,5.5,0.0,0.375
1968-08,5.5,0.0,0.375
1968-09,5.48,-0.003636,0.37
1968-10,5.25,-0.041971,0.3125
1968-11,5.25,0.0,0.3125
1968-12,5.25,0.0,0.255981
1969-01,5.36,0.020952,0.191111
1969-02,5.5,0.026119,0.222222
1969-03,5.5,0.0,0.222222
1969-04,5.5,0.0,0.180258
1969-05,5.95,0.081818,0.144231
1969-06,6.0,0.008403,0.090909
1969-07,6.0,0.0,0.090909
1969-08,6.0,0.0,0.090909
1969-09,6.0,0.0,0.094891
1969-10,6.0,0.0,0.142857
1969-11,6.0,0.0,0.142857
1969-12,6.0,0.0,0.142857
1970-01,6.0,0.0,0.119403
1970-02,6.0,0.0,0.090909
1970-03,6.0,0.0,0.090909
1970-04,6.0,0.0,0.090909
1970-05,6.0,0.0,0.008403
1970-06,6.0,0.0,0.0
1970-07,6.0,0.0,0.0
1970-08,6.0,0.0,0.0
1970-09,6.0,0.0,0.0
1970-10,6.0,0.0,0.0
1970-11,6.0,0.0,0.0
1970-12,5.85,-0.025,-0.025
1971-01,5.52,-0.05641,-0.08
1971-02,5.23,-0.052536,-0.128333
1971-03,4.91,-0.061185,-0.181667
1971-04,4.75,-0.032587,-0.208333
1971-05,4.75,0.0,-0.208333
1971-06,4.75,0.0,-0.208333
1971-07,4.75,0.0,-0.208333
1971-08,4.88,0.027368,-0.186667
1971-09,5.0,0.02459,-0.166667
1971-10,5.0,0.0,-0.166667
1971-11,5.0,0.0,-0.166667
1971-12,4.9,-0.02,-0.162393
1972-01,4.63,-0.055102,-0.161232
1972-02,4.5,-0.028078,-0.139579
1972-03,4.5,0.0,-0.083503
1972-04,4.5,0.0,-0.052632
1972-05,4.5,0.0,-0.052632
1972-06,4.5,0.0,-0.052632
1972-07,4.5,0.0,-0.052632
1972-08,4.5,0.0,-0.077869
1972-09,4.5,0.0,-0.1
1972-10,4.5,0.0,-0.1
1972-11,4.5,0.0,-0.1
1972-12,4.5,0.0,-0.081633
1973-01,4.5,0.0,-0.028078
1973-02,4.77,0.06,0.06
1973-03,5.05,0.0587,0.122222
1973-04,5.5,0.089109,0.222222
1973-05,5.5,0.0,0.222222
1973-06,5.9,0.072727,0.311111
1973-07,6.33,0.072881,0.406667
1973-08,6.98,0.102686,0.551111
1973-09,7.29,0.044413,0.62
1973-10,7.5,0.028807,0.666667
1973-11,7.5,0.0,0.666667
1973-12,7.5,0.0,0.666667
1974-01,7.5,0.0,0.666667
1974-02,7.5,0.0,0.572327
1974-03,7.5,0.0,0.485149
1974-04,7.5,0.0,0.363636
1974-05,7.6,0.013333,0.381818
1974-06,8.0,0.052632,0.355932
1974-07,8.0,0.0,0.263823
1974-08,8.0,0.0,0.146132
1974-09,8.0,0.0,0.097394
1974-10,8.0,0.0,0.066667
