Date,Value,ChangePercentMonth,ChangePercentYear
1992-02,33857,,
1992-03,35258,0.04138,
1992-04,35992,0.020818,
1992-05,36811,0.022755,
1992-06,36666,-0.003939,
1992-07,36629,-0.001009,
1992-08,36131,-0.013596,
1992-09,37629,0.04146,
1992-10,36668,-0.025539,
1992-11,37573,0.024681,
1992-12,38374,0.021318,
1993-01,37041,-0.034737,
1993-02,36962,-0.002133,0.091709
1993-03,36895,-0.001813,0.046429
1993-04,37729,0.022605,0.048261
1993-05,37869,0.003711,0.028741
1993-06,38381,0.01352,0.046774
1993-07,38915,0.013913,0.06241
1993-08,39309,0.010125,0.087958
1993-09,39307,-5.1e-05,0.044593
1993-10,40550,0.031623,0.105869
1993-11,40301,-0.006141,0.072605
1993-12,43296,0.074316,0.128264
1994-01,39801,-0.080723,0.074512
1994-02,41736,0.048617,0.12916
1994-03,41245,-0.011764,0.117902
1994-04,42992,0.042357,0.139495
1994-05,42849,-0.003326,0.131506
1994-06,44555,0.039814,0.160861
1994-07,44016,-0.012097,0.131081
1994-08,44406,0.00886,0.129665
1994-09,44507,0.002274,0.132292
1994-10,45959,0.032624,0.133391
1994-11,45942,-0.00037,0.139972
1994-12,46186,0.005311,0.06675
1995-01,47317,0.024488,0.188839
1995-02,46200,-0.023607,0.106958
1995-03,46095,-0.002273,0.11759
1995-04,46776,0.014774,0.088016
1995-05,48401,0.03474,0.129571
1995-06,47970,-0.008905,0.076647
1995-07,45962,-0.041859,0.044211
1995-08,47502,0.033506,0.06972
1995-09,49431,0.040609,0.110634
1995-10,50283,0.017236,0.094084
1995-11,49798,-0.009645,0.083932
1995-12,51221,0.028575,0.109016
1996-01,47931,-0.064231,0.012976
1996-02,49183,0.026121,0.064567
1996-03,49780,0.012138,0.079944
1996-04,48102,-0.033708,0.028348
1996-05,50505,0.049956,0.04347
1996-06,51556,0.02081,0.074755
1996-07,51047,-0.009873,0.110635
1996-08,50780,-0.00523,0.069008
1996-09,49824,-0.018826,0.00795
1996-10,52556,0.054833,0.045204
1996-11,52664,0.002055,0.057553
1996-12,50765,-0.036059,-0.008903
1997-01,51958,0.0235,0.084017
1997-02,54285,0.044786,0.103735
1997-03,54195,-0.001658,0.08869
1997-04,55044,0.015666,0.144318
1997-05,53924,-0.020347,0.067696
1997-06,55972,0.037979,0.085654
1997-07,58969,0.053545,0.15519
1997-08,58232,-0.012498,0.146751
1997-09,60143,0.032817,0.207109
