Date,Value,ChangePercentMonth,ChangePercentYear
2008-10,0.75,,
2008-10,0.75,0.0,
2008-10,0.75,0.0,0.0
2008-10,1.15,0.533333,0.533333
2008-10,1.15,0.0,0.533333
2008-10,0.65,-0.434783,-0.133333
2008-10,0.65,0.0,-0.133333
2008-11,0.65,0.0,-0.133333
2008-11,0.65,0.0,-0.434783
2008-11,1.0,0.538462,-0.130435
2008-11,1.0,0.0,-0.130435
2008-11,1.0,0.0,0.538462
2008-11,1.0,0.0,0.0
2008-12,1.0,0.0,0.0
2008-12,0.25,-0.75,-0.75
2008-12,0.25,0.0,-0.75
2008-12,0.25,0.0,0.0
2009-01,0.25,0.0,0.0
2009-02,0.25,0.0,0.0
2009-03,0.25,0.0,0.0
2009-04,0.25,0.0,0.0
2009-05,0.25,0.0,0.0
2009-06,0.25,0.0,0.0
2009-07,0.25,0.0,0.0
2009-08,0.25,0.0,0.0
2009-09,0.25,0.0,0.0
2009-10,0.25,0.0,0.0
2009-11,0.25,0.0,0.0
2009-12,0.25,0.0,0.0
2010-01,0.25,0.0,0.0
2010-02,0.25,0.0,0.0
2010-03,0.25,0.0,0.0
2010-04,0.25,0.0,0.0
2010-05,0.25,0.0,0.0
2010-06,0.25,0.0,0.0
2010-07,0.25,0.0,0.0
2010-08,0.25,0.0,0.0
2010-09,0.25,0.0,0.0
2010-10,0.25,0.0,0.0
2010-11,0.25,0.0,0.0
2010-12,0.25,0.0,0.0
2011-01,0.25,0.0,0.0
2011-02,0.25,0.0,0.0
2011-03,0.25,0.0,0.0
2011-04,0.25,0.0,0.0
2011-05,0.25,0.0,0.0
2011-06,0.25,0.0,0.0
2011-07,0.25,0.0,0.0
2011-08,0.25,0.0,0.0
2011-09,0.25,0.0,0.0
2011-10,0.25,0.0,0.0
2011-11,0.25,0.0,0.0
2011-12,0.25,0.0,0.0
2012-01,0.25,0.0,0.0
2012-02,0.25,0.0,0.0
2012-03,0.25,0.0,0.0
2012-04,0.25,0.0,0.0
2012-05,0.25,0.0,0.0
2012-06,0.25,0.0,0.0
2012-07,0.25,0.0,0.0
2012-08,0.25,0.0,0.0
2012-09,0.25,0.0,0.0
2012-10,0.25,0.0,0.0
2012-11,0.25,0.0,0.0
2012-12,0.25,0.0,0.0
2013-01,0.25,0.0,0.0
2013-02,0.25,0.0,0.0
2013-03,0.25,0.0,0.0
2013-04,0.25,0.0,0.0
2013-05,0.25,0.0,0.0
2013-06,0.25,0.0,0.0
2013-07,0.25,0.0,0.0
2013-08,0.25,0.0,0.0
2013-09,0.25,0.0,0.0
2013-10,0.25,0.0,0.0
2013-11,0.25,0.0,0.0
2013-12,0.25,0.0,0.0
2014-01,0.25,0.0,0.0
2014-02,0.25,0.0,0.0
2014-03,0.25,0.0,0.0
2014-04,0.25,0.0,0.0
2014-05,0.25,0.0,0.0
2014-06,0.25,0.0,0.0
2014-07,0.25,0.0,0.0
2014-08,0.25,0.0,0.0
2014-09,0.25,0.0,0.0
2014-10,0.25,0.0,0.0
2014-11,0.25,0.0,0.0
2014-12,0.25,0.0,0.0
2015-01,0.25,0.0,0.0
2015-02,0.25,0.0,0.0
2015-03,0.25,0.0,0.0
2015-04,0.25,0.0,0.0
2015-05,0.25,0.0,0.0
2015-06,0.25,0.0,0.0
2015-07,0.25,0.0,0.0
2015-08,0.25,0.0,0.0
2015-09,0.25,0.0,0.0
2015-10,0.25,0.0,0.0
2015-11,0.25,0.0,0.0
2015-12,0.25,0.0,0.0
2015-12,0.5,1.0,1.0
2015-12,0.5,0.0,1.0
2015-12,0.5,0.0,0.0
2016-01,0.5,0.0,0.0
2016-02,0.5,0.0,0.0
2016-03,0.5,0.0,0.0
2016-04,0.5,0.0,0.0
2016-05,0.5,0.0,0.0
2016-06,0.5,0.0,0.0
2016-07,0.5,0.0,0.0
2016-08,0.5,0.0,0.0
2016-09,0.5,0.0,0.0
2016-10,0.5,0.0,0.0
2016-11,0.5,0.0,0.0
2016-12,0.5,0.0,0.0
2016-12,0.75,0.5,0.5
2016-12,0.75,0.0,0.5
2016-12,0.75,0.0,0.0
2017-01,0.75,0.0,0.0
2017-02,0.75,0.0,0.0
2017-03,0.75,0.0,0.0
2017-03,1.0,0.333333,0.333333
2017-03,1.0,0.0,0.333333
2017-03,1.0,0.0,0.0
2017-04,1.0,0.0,0.0
2017-05,1.0,0.0,0.0
2017-06,1.0,0.0,0.0
2017-06,1.25,0.25,0.25
2017-06,1.25,0.0,0.25
2017-06,1.25,0.0,0.0
2017-07,1.25,0.0,0.0
2017-08,1.25,0.0,0.0
2017-09,1.25,0.0,0.0
2017-10,1.25,0.0,0.0
2017-11,1.25,0.0,0.0
2017-12,1.25,0.0,0.0
2017-12,1.5,0.2,0.2
2017-12,1.5,0.0,0.2
2017-12,1.5,0.0,0.0
2018-01,1.5,0.0,0.0
2018-02,1.5,0.0,0.0
2018-03,1.5,0.0,0.0
2018-03,1.75,0.166667,0.166667
2018-03,1.75,0.0,0.166667
2018-04,1.75,0.0,0.166667
2018-04,1.75,0.0,0.0
2018-05,1.75,0.0,0.0
2018-06,1.75,0.0,0.0
2018-06,1.95,0.114286,0.114286
2018-06,1.95,0.0,0.114286
2018-06,1.95,0.0,0.0
2018-07,1.95,0.0,0.0
2018-08,1.95,0.0,0.0
2018-09,1.95,0.0,0.0
2018-09,2.2,0.128205,0.128205
2018-09,2.2,0.0,0.128205
2018-10,2.2,0.0,0.128205
2018-10,2.2,0.0,0.0
2018-11,2.2,0.0,0.0
2018-12,2.2,0.0,0.0
2018-12,2.4,0.090909,0.090909
2018-12,2.4,0.0,0.090909
2019-01,2.4,0.0,0.0
2019-02,2.4,0.0,0.0
2019-03,2.4,0.0,0.0
2019-04,2.4,0.0,0.0
2019-05,2.4,0.0,0.0
2019-05,2.35,-0.020833,-0.020833
2019-05,2.35,0.0,-0.020833
2019-05,2.35,0.0,0.0
2019-06,2.35,0.0,0.0
2019-07,2.35,0.0,0.0
2019-08,2.1,-0.106383,-0.106383
2019-08,2.1,0.0,-0.106383
2019-08,2.1,0.0,0.0
2019-09,2.1,0.0,0.0
2019-09,1.8,-0.142857,-0.142857
2019-09,1.8,0.0,-0.142857
2019-10,1.8,0.0,0.0
2019-10,1.55,-0.138889,-0.138889
2019-11,1.55,0.0,-0.138889
2019-11,1.55,0.0,0.0
2019-12,1.55,0.0,0.0
2020-01,1.55,0.0,0.0
2020-01,1.6,0.032258,0.032258
2020-01,1.6,0.0,0.032258
2020-02,1.6,0.0,0.032258
2020-02,1.6,0.0,0.0
2020-03,1.6,0.0,0.0
2020-03,1.1,-0.3125,-0.3125
2020-03,1.1,0.0,-0.3125
2020-03,0.1,-0.909091,-0.909091
2020-03,0.1,0.0,-0.909091
2020-03,0.1,0.0,0.0
2020-04,0.1,0.0,0.0
2020-05,0.1,0.0,0.0
2020-06,0.1,0.0,0.0
2020-07,0.1,0.0,0.0
2020-08,0.1,0.0,0.0
2020-09,0.1,0.0,0.0
2020-10,0.1,0.0,0.0
2020-11,0.1,0.0,0.0
2020-12,0.1,0.0,0.0
2021-01,0.1,0.0,0.0
2021-02,0.1,0.0,0.0
2021-03,0.1,0.0,0.0
2021-04,0.1,0.0,0.0
2021-05,0.1,0.0,0.0
2021-06,0.1,0.0,0.0
2021-06,0.15,0.5,0.5
2021-06,0.15,0.0,0.5
2021-06,0.15,0.0,0.0
2021-07,0.15,0.0,0.0
