Date,Value,ChangePercentMonth,ChangePercentYear
1993-01,458080,,
1993-02,462967,0.010668,
1993-03,458399,-0.009867,
1993-04,469425,0.024053,
1993-05,468998,-0.00091,
1993-06,480247,0.023985,
1993-07,483571,0.006921,
1993-08,491494,0.016384,
1993-09,497297,0.011807,
1993-10,492823,-0.008997,
1993-11,515934,0.046895,
1993-12,533150,0.033369,
1994-01,513314,-0.037205,0.120577
1994-02,513196,-0.00023,0.108494
1994-03,521040,0.015285,0.136652
1994-04,528063,0.013479,0.124915
1994-05,532328,0.008077,0.135033
1994-06,536198,0.00727,0.116505
1994-07,537232,0.001928,0.110968
1994-08,537960,0.001355,0.09454
1994-09,538215,0.000474,0.082281
1994-10,533273,-0.009182,0.082078
1994-11,539150,0.011021,0.044998
1994-12,541794,0.004904,0.016213
1995-01,543930,0.003942,0.059644
1995-02,537826,-0.011222,0.047993
1995-03,542715,0.00909,0.041599
1995-04,543096,0.000702,0.028468
1995-05,542566,-0.000976,0.019233
1995-06,546131,0.006571,0.018525
1995-07,547342,0.002217,0.018819
1995-08,550996,0.006676,0.024232
1995-09,554011,0.005472,0.029349
1995-10,555132,0.002023,0.04099
1995-11,557445,0.004167,0.033933
1995-12,557953,0.000911,0.029825
1996-01,575138,0.0308,0.057375
1996-02,568052,-0.012321,0.0562
1996-03,574538,0.011418,0.058637
1996-04,590464,0.02772,0.087218
1996-05,600186,0.016465,0.106199
1996-06,602150,0.003272,0.102574
1996-07,599899,-0.003738,0.096022
1996-08,603959,0.006768,0.096122
1996-09,615466,0.019053,0.110927
1996-10,621761,0.010228,0.120024
1996-11,620812,-0.001526,0.113674
1996-12,606078,-0.023733,0.086253
1997-01,608608,0.004174,0.058195
1997-02,615415,0.011185,0.083378
1997-03,620467,0.008209,0.079941
1997-04,616175,-0.006917,0.043544
1997-05,624743,0.013905,0.040916
1997-06,626396,0.002646,0.040266
1997-07,637410,0.017583,0.062529
1997-08,639593,0.003425,0.059001
1997-09,646526,0.01084,0.050466
1997-10,653196,0.010317,0.050558
1997-11,643710,-0.014522,0.036884
1997-12,642021,-0.002624,0.059304
1998-01,645686,0.005709,0.060923
1998-02,648121,0.003771,0.053145
1998-03,666906,0.028984,0.074845
