Date,Value,ChangePercentMonth,ChangePercentYear
1954-07,,,
1954-08,,,
1954-09,,,
1954-10,,,
1954-11,,,
1954-12,1185.2,,
1955-01,,0.0,
1955-02,,0.0,
1955-03,,0.0,
1955-04,,0.0,
1955-05,,0.0,
1955-06,,0.0,
1955-07,,0.0,
1955-08,,0.0,
1955-09,,0.0,
1955-10,,0.0,
1955-11,,0.0,
1955-12,1044.2,-0.118967,-0.118967
1956-01,,0.0,-0.118967
1956-02,,0.0,-0.118967
1956-03,,0.0,-0.118967
1956-04,,0.0,-0.118967
1956-05,,0.0,-0.118967
1956-06,,0.0,-0.118967
1956-07,,0.0,-0.118967
1956-08,,0.0,-0.118967
1956-09,,0.0,-0.118967
1956-10,,0.0,-0.118967
1956-11,,0.0,-0.118967
1956-12,1607.6,0.539552,0.539552
1957-01,1327.2,-0.174421,0.271021
1957-02,1459.7,0.099834,0.397912
1957-03,1587.6,0.087621,0.520398
1957-04,1773.0,0.11678,0.697951
1957-05,1535.5,-0.133954,0.470504
1957-06,1649.3,0.074113,0.579487
1957-07,1758.2,0.066028,0.683777
1957-08,1806.5,0.027471,0.730033
1957-09,1898.1,0.050706,0.817755
1957-10,1939.0,0.021548,0.856924
1957-11,1964.4,0.0131,0.881249
1957-12,1975.0,0.005396,0.228539
1958-01,1981.4,0.003241,0.492917
1958-02,1993.7,0.006208,0.365829
1958-03,2041.8,0.024126,0.286092
1958-04,2054.1,0.006024,0.158545
1958-05,2029.1,-0.012171,0.321459
1958-06,2084.4,0.027253,0.263809
1958-07,2086.3,0.000912,0.186611
1958-08,2099.5,0.006327,0.162192
1958-09,2031.3,-0.032484,0.070175
1958-10,2032.9,0.000788,0.048427
1958-11,1961.9,-0.034925,-0.001273
1958-12,1957.7,-0.002141,-0.008759
1959-01,1969.9,0.006232,-0.005804
1959-02,1961.3,-0.004366,-0.016251
1959-03,1792.6,-0.086014,-0.122049
1959-04,1799.4,0.003793,-0.123996
1959-05,1786.9,-0.006947,-0.119363
1959-06,1767.6,-0.010801,-0.151986
1959-07,1751.6,-0.009052,-0.160428
1959-08,1779.4,0.015871,-0.152465
1959-09,2085.0,0.171743,0.026436
1959-10,2096.8,0.005659,0.031433
1959-11,2013.7,-0.039632,0.026403
1959-12,1997.5,-0.008045,0.02033
1960-01,1984.1,-0.006708,0.007208
1960-02,1924.7,-0.029938,-0.018661
1960-03,1887.7,-0.019224,0.053051
1960-04,1875.0,-0.006728,0.042014
