Date,Value,ChangePercentMonth,ChangePercentYear
1990-01,17.24,,
1990-01,18.19,0.055104,
1990-01,19.22,0.056625,
1990-01,20.11,0.046306,
1990-01,20.26,0.007459,
1990-01,22.2,0.095755,
1990-01,22.44,0.010811,
1990-01,20.05,-0.106506,
1990-01,24.64,0.228928,
1990-01,26.34,0.068994,
1990-01,24.18,-0.082005,
1990-01,24.16,-0.000827,
1990-01,24.34,0.00745,0.411833
1990-01,22.5,-0.075596,0.236943
1990-01,26.7,0.186667,0.389178
1990-01,24.72,-0.074157,0.229239
1990-01,25.39,0.027104,0.253208
1990-01,25.63,0.009453,0.154505
1990-01,26.28,0.025361,0.171123
1990-01,26.44,0.006088,0.318703
1990-01,27.25,0.030635,0.105925
1990-01,25.36,-0.069358,-0.037206
1990-02,24.87,-0.019322,0.028536
1990-02,24.32,-0.022115,0.006623
1990-02,24.54,0.009046,0.008217
1990-02,24.69,0.006112,0.097333
1990-02,24.29,-0.016201,-0.090262
1990-02,23.77,-0.021408,-0.03843
1990-02,23.69,-0.003366,-0.066955
1990-02,24.38,0.029126,-0.048771
1990-02,23.76,-0.025431,-0.09589
1990-02,22.05,-0.07197,-0.166036
1990-02,19.71,-0.106122,-0.276697
1990-02,20.78,0.054287,-0.180599
1990-02,,0.0,-0.164455
1990-02,22.78,0.096246,-0.063322
1990-02,23.89,0.048727,-0.026487
1990-02,22.54,-0.056509,-0.08708
1990-02,23.69,0.05102,-0.024702
1990-02,23.56,-0.005488,-0.008835
1990-02,22.69,-0.036927,-0.042212
1990-02,21.99,-0.030851,-0.098031
1990-03,21.9,-0.004093,-0.078283
1990-03,21.34,-0.025571,-0.0322
1990-03,22.03,0.032334,0.117707
1990-03,20.55,-0.067181,-0.011068
1990-03,19.1,-0.07056,-0.080847
1990-03,19.74,0.033508,-0.13345
1990-03,20.3,0.028369,-0.150272
1990-03,20.07,-0.01133,-0.109583
1990-03,21.05,0.048829,-0.111439
1990-03,19.65,-0.066508,-0.165959
1990-03,18.81,-0.042748,-0.171
1990-03,17.62,-0.063264,-0.198727
1990-03,18.29,0.038025,-0.16484
1990-03,19.06,0.0421,-0.106842
1990-03,20.1,0.054565,-0.087608
1990-03,22.74,0.131343,0.106569
1990-03,20.46,-0.100264,0.071204
1990-03,19.59,-0.042522,-0.007599
1990-03,21.01,0.072486,0.034975
1990-03,19.77,-0.05902,-0.014948
1990-03,18.46,-0.066262,-0.12304
1990-03,19.73,0.068797,0.004071
1990-04,22.84,0.157628,0.214248
1990-04,20.44,-0.105079,0.160045
1990-04,22.03,0.077789,0.204483
1990-04,21.21,-0.037222,0.112802
1990-04,21.76,0.025931,0.082587
1990-04,22.3,0.024816,-0.019349
1990-04,21.69,-0.027354,0.060117
1990-04,17.73,-0.182573,-0.094946
1990-04,19.8,0.116751,-0.057592
1990-04,,0.0,0.001517
1990-04,20.75,0.04798,0.124052
1990-04,20.38,-0.017831,0.032945
1990-04,22.67,0.112365,-0.007443
1990-04,22.46,-0.009263,0.098826
1990-04,23.33,0.038736,0.05901
1990-04,24.16,0.035577,0.139085
1990-04,21.7,-0.101821,-0.002757
1990-04,20.86,-0.03871,-0.064574
1990-04,20.25,-0.029243,-0.06639
1990-04,22.19,0.095802,0.251551
1990-04,19.52,-0.120324,-0.014141
1990-05,18.43,-0.05584,-0.069192
1990-05,19.32,0.048291,-0.068916
1990-05,17.81,-0.078157,-0.126104
1990-05,17.28,-0.029759,-0.237759
1990-05,17.65,0.021412,-0.214159
1990-05,18.49,0.047592,-0.207458
1990-05,18.64,0.008112,-0.228477
1990-05,18.59,-0.002682,-0.143318
1990-05,19.81,0.065627,-0.050336
1990-05,20.14,0.016658,-0.005432
1990-05,19.49,-0.032274,-0.121676
1990-05,17.71,-0.091329,-0.092725
1990-05,17.27,-0.024845,-0.062941
1990-05,17.2,-0.004053,-0.109731
1990-05,16.72,-0.027907,-0.061202
1990-05,17.84,0.066986,0.032407
1990-05,17.18,-0.036996,-0.026629
1990-05,17.7,0.030268,-0.042726
1990-05,17.32,-0.021469,-0.070815
1990-05,,0.0,-0.068316
1990-05,18.75,0.082564,-0.053508
1990-05,17.44,-0.069867,-0.134062
1990-05,17.37,-0.004014,-0.108774
1990-06,17.09,-0.01612,-0.035008
1990-06,18.39,0.076068,0.064852
1990-06,18.97,0.031539,0.102907
1990-06,17.42,-0.081708,0.041866
1990-06,16.88,-0.030999,-0.053812
1990-06,17.58,0.041469,0.023283
1990-06,16.34,-0.070535,-0.076836
1990-06,16.6,0.015912,-0.04157
1990-06,17.38,0.046988,0.003464
1990-06,17.4,0.001151,-0.072
1990-06,15.9,-0.086207,-0.088303
1990-06,17.71,0.113836,0.019574
1990-06,15.23,-0.140034,-0.108836
1990-06,15.27,0.002626,-0.169657
1990-06,14.72,-0.036018,-0.224038
1990-06,19.36,0.315217,0.111366
1990-06,17.06,-0.118802,0.010664
1990-06,16.29,-0.045135,-0.073379
1990-06,16.0,-0.017802,-0.020808
1990-06,16.18,0.01125,-0.025301
1990-06,15.5,-0.042027,-0.10817
1990-07,16.26,0.049032,-0.065517
1990-07,16.11,-0.009225,0.013208
1990-07,,0.0,-0.090344
1990-07,17.25,0.070764,0.132633
1990-07,16.41,-0.048696,0.074656
1990-07,16.66,0.015235,0.131793
1990-07,16.92,0.015606,-0.126033
1990-07,16.68,-0.014184,-0.022274
1990-07,17.06,0.022782,0.047268
1990-07,17.09,0.001758,0.068125
1990-07,16.75,-0.019895,0.035229
1990-07,16.66,-0.005373,0.074839
1990-07,18.9,0.134454,0.162362
1990-07,18.56,-0.017989,0.152079
1990-07,15.63,-0.157866,-0.029795
1990-07,23.68,0.515035,0.372754
1990-07,21.79,-0.079814,0.327849
1990-07,20.19,-0.073428,0.211885
1990-07,20.26,0.003467,0.1974
1990-07,21.12,0.042448,0.266187
1990-07,21.16,0.001894,0.240328
1990-07,21.11,-0.002363,0.235225
1990-08,21.64,0.025107,0.29194
1990-08,20.43,-0.055915,0.226291
1990-08,28.74,0.406755,0.520635
1990-08,35.91,0.249478,0.934806
1990-08,32.75,-0.087998,1.095329
1990-08,28.27,-0.136794,0.193834
1990-08,24.39,-0.137248,0.119321
1990-08,25.75,0.055761,0.275384
1990-08,25.74,-0.000388,0.270484
1990-08,24.18,-0.060606,0.144886
1990-08,23.31,-0.03598,0.101607
1990-08,27.16,0.165165,0.286594
1990-08,27.53,0.013623,0.272181
1990-08,26.46,-0.038867,0.295154
1990-08,28.9,0.092215,0.005567
1990-08,30.55,0.057093,-0.149262
1990-08,36.47,0.193781,0.113588
1990-08,33.93,-0.069646,0.200212
1990-08,29.63,-0.126732,0.214842
1990-08,29.12,-0.017212,0.130874
1990-08,27.38,-0.059753,0.063714
1990-08,29.89,0.091673,0.236146
1990-08,29.9,0.000335,0.282711
1990-09,,0.0,0.100884
1990-09,29.58,-0.010702,0.074464
1990-09,28.52,-0.035835,0.077853
1990-09,30.19,0.058555,0.044637
1990-09,28.73,-0.04836,-0.059574
1990-09,29.34,0.021232,-0.195503
1990-09,28.38,-0.03272,-0.163572
1990-09,28.12,-0.009161,-0.050962
1990-09,29.33,0.04303,0.007212
1990-09,30.56,0.041937,0.116143
1990-09,29.55,-0.03305,-0.011375
1990-09,28.82,-0.024704,-0.03612
1990-09,27.88,-0.032616,-0.067559
1990-09,28.66,0.027977,-0.031102
1990-09,30.04,0.048151,0.053296
1990-09,30.56,0.01731,0.012256
1990-09,28.81,-0.057264,0.002785
1990-09,28.19,-0.02152,-0.039196
1990-09,28.67,0.017027,0.010218
1990-09,29.11,0.015347,0.035206
1990-10,28.06,-0.03607,-0.0433
1990-10,27.28,-0.027798,-0.10733
1990-10,27.9,0.022727,-0.055838
1990-10,27.51,-0.013978,-0.045455
1990-10,27.85,0.012359,-0.001076
1990-10,28.04,0.006822,-0.021633
1990-10,30.71,0.095221,0.022304
1990-10,31.19,0.01563,0.020615
1990-10,33.98,0.089452,0.179452
1990-10,31.94,-0.060035,0.133026
1990-10,31.64,-0.009393,0.103593
1990-10,31.45,-0.006005,0.080385
1990-10,31.37,-0.002544,0.117962
1990-10,29.6,-0.056423,0.085044
1990-10,27.86,-0.058784,-0.001434
1990-10,27.27,-0.021177,-0.008724
1990-10,27.57,0.011001,-0.010054
1990-10,28.28,0.025753,0.008559
1990-10,29.04,0.026874,-0.05438
1990-10,30.75,0.058884,-0.014107
1990-10,31.54,0.025691,-0.071807
1990-10,30.52,-0.03234,-0.044458
1990-10,30.04,-0.015727,-0.050569
1990-11,30.25,0.006991,-0.038156
1990-11,30.03,-0.007273,-0.042716
1990-11,29.85,-0.005994,0.008446
1990-11,29.11,-0.024791,0.044867
1990-11,30.87,0.06046,0.132013
1990-11,30.79,-0.002592,0.116794
1990-11,26.96,-0.124391,-0.046676
1990-11,25.6,-0.050445,-0.118457
1990-11,24.58,-0.039844,-0.20065
1990-11,22.89,-0.068755,-0.274255
1990-11,22.57,-0.01398,-0.260485
1990-11,21.34,-0.054497,-0.289614
1990-11,20.95,-0.018276,-0.307438
1990-11,20.09,-0.04105,-0.331002
1990-11,21.09,0.049776,-0.293467
1990-11,,0.0,-0.275507
1990-11,20.98,-0.005216,-0.320376
1990-11,22.76,0.084843,-0.260799
1990-11,22.86,0.004394,-0.152077
1990-11,22.96,0.004374,-0.103125
1990-11,23.91,0.041376,-0.027258
1990-11,22.16,-0.073191,-0.031892
1990-12,22.29,0.005866,-0.012406
1990-12,22.03,-0.011664,0.032334
1990-12,20.94,-0.049478,-0.000477
1990-12,22.62,0.080229,0.125933
1990-12,22.59,-0.001326,0.071124
1990-12,23.58,0.043825,0.118065
1990-12,23.75,0.007209,0.132031
1990-12,21.28,-0.104,-0.065026
1990-12,23.05,0.083177,0.008311
1990-12,23.85,0.034707,0.038763
1990-12,24.85,0.041929,0.039314
1990-12,23.11,-0.07002,0.04287
1990-12,23.08,-0.001298,0.035442
1990-12,23.13,0.002166,0.049932
1990-12,22.66,-0.02032,0.082139
1990-12,24.03,0.060459,0.062334
1990-12,,0.0,0.063745
1990-12,24.18,0.006242,0.025445
1990-12,24.81,0.026055,0.044632
1990-12,25.05,0.009674,0.177162
1990-12,26.38,0.053094,0.144469
1991-01,,0.0,0.10608
1991-01,26.62,0.009098,0.071227
1991-01,27.93,0.049211,0.208568
1991-01,27.19,-0.026495,0.178076
1991-01,28.95,0.06473,0.251621
1991-01,30.38,0.049396,0.340688
1991-01,33.3,0.096116,0.385768
1991-01,31.33,-0.059159,0.303787
1991-01,32.63,0.041494,0.349462
1991-01,36.2,0.109409,0.459089
1991-01,36.16,-0.001105,0.443513
1991-01,33.2,-0.081858,0.258529
1991-01,27.45,-0.173193,0.040561
1991-01,25.39,-0.075046,-0.046206
1991-01,24.33,-0.041749,-0.128894
1991-01,24.9,0.023428,-0.084222
1991-01,23.92,-0.039357,-0.173748
1991-01,22.86,-0.044314,-0.247531
1991-01,22.2,-0.028871,-0.333333
1991-01,23.05,0.038288,-0.264283
1991-01,23.17,0.005206,-0.289917
1991-01,21.37,-0.077687,-0.409669
1991-01,20.91,-0.021526,-0.421737
1991-02,21.04,0.006217,-0.366265
1991-02,21.86,0.038973,-0.203643
1991-02,21.46,-0.018298,-0.154785
1991-02,22.68,0.05685,-0.067818
1991-02,23.6,0.040564,-0.052209
1991-02,23.38,-0.009322,-0.022575
1991-02,22.56,-0.035073,-0.013123
1991-02,22.26,-0.013298,0.002703
1991-02,20.86,-0.062893,-0.095011
1991-02,21.48,0.029722,-0.072939
1991-02,19.57,-0.08892,-0.08423
1991-02,,0.0,-0.064084
1991-02,19.84,0.013797,-0.057034
1991-02,22.26,0.121976,0.018298
1991-02,20.78,-0.066487,-0.031687
1991-02,21.01,0.011068,-0.073633
1991-02,22.86,0.088053,-0.031356
1991-02,20.38,-0.108486,-0.128315
1991-02,21.26,0.04318,-0.057624
1991-02,21.23,-0.001411,-0.046271
1991-03,,0.0,0.017737
1991-03,20.86,-0.017428,-0.028864
1991-03,20.45,-0.019655,0.044967
