Date,Value,ChangePercentMonth,ChangePercentYear
1972-02,10.2,,
1972-03,,0.0,
1972-04,,0.0,
1972-05,9.96,-0.023529,
1972-06,,0.0,
1972-07,,0.0,
1972-08,10.02,0.006024,
1972-09,,0.0,
1972-10,,0.0,
1972-11,10.02,0.0,
1972-12,,0.0,
1973-01,,0.0,
1973-02,10.05,0.002994,-0.014706
1973-03,,0.0,-0.014706
1973-04,,0.0,-0.014706
1973-05,10.05,0.0,0.009036
1973-06,,0.0,0.009036
1973-07,,0.0,0.009036
1973-08,10.25,0.0199,0.022954
1973-09,,0.0,0.022954
1973-10,,0.0,0.022954
1973-11,10.49,0.023415,0.046906
1973-12,,0.0,0.046906
1974-01,,0.0,0.046906
1974-02,10.53,0.003813,0.047761
1974-03,,0.0,0.047761
1974-04,,0.0,0.047761
1974-05,10.63,0.009497,0.057711
1974-06,,0.0,0.057711
1974-07,,0.0,0.057711
1974-08,11.15,0.048918,0.087805
1974-09,,0.0,0.087805
1974-10,,0.0,0.087805
1974-11,11.57,0.037668,0.102955
1974-12,,0.0,0.102955
1975-01,,0.0,0.102955
1975-02,11.51,-0.005186,0.093067
1975-03,,0.0,0.093067
1975-04,,0.0,0.093067
1975-05,11.39,-0.010426,0.071496
1975-06,,0.0,0.071496
1975-07,,0.0,0.071496
1975-08,11.31,-0.007024,0.01435
1975-09,,0.0,0.01435
1975-10,,0.0,0.01435
1975-11,11.24,-0.006189,-0.028522
1975-12,,0.0,-0.028522
1976-01,,0.0,-0.028522
1976-02,11.18,-0.005338,-0.028671
1976-03,,0.0,-0.028671
1976-04,,0.0,-0.028671
1976-05,11.01,-0.015206,-0.033363
1976-06,,0.0,-0.033363
1976-07,,0.0,-0.033363
1976-08,11.07,0.00545,-0.02122
1976-09,,0.0,-0.02122
1976-10,,0.0,-0.02122
1976-11,11.02,-0.004517,-0.019573
1976-12,,0.0,-0.019573
1977-01,,0.0,-0.019573
1977-02,11.14,0.010889,-0.003578
1977-03,,0.0,-0.003578
1977-04,,0.0,-0.003578
1977-05,10.81,-0.029623,-0.018165
1977-06,,0.0,-0.018165
1977-07,,0.0,-0.018165
1977-08,10.86,0.004625,-0.01897
