Date,Value,ChangePercentMonth,ChangePercentYear
1971-04,7.33,,
1971-04,7.31,-0.002729,
1971-04,7.31,0.0,
1971-04,7.29,-0.002736,
1971-05,7.38,0.012346,
1971-05,7.42,0.00542,
1971-05,7.44,0.002695,
1971-05,7.46,0.002688,
1971-06,7.52,0.008043,
1971-06,7.52,0.0,
1971-06,7.54,0.00266,
1971-06,7.54,0.0,0.028649
1971-07,7.54,0.0,0.031464
1971-07,7.6,0.007958,0.039672
1971-07,7.65,0.006579,0.049383
1971-07,7.69,0.005229,0.042005
1971-08,7.66,-0.003901,0.032345
1971-08,7.73,0.009138,0.038978
1971-08,7.71,-0.002587,0.033512
1971-08,7.69,-0.002594,0.022606
1971-09,7.71,0.002601,0.025266
1971-09,7.67,-0.005188,0.017241
1971-09,7.7,0.003911,0.02122
1971-09,7.67,-0.003896,0.017241
1971-10,7.67,0.0,0.017241
1971-10,7.63,-0.005215,0.003947
1971-10,7.63,0.0,-0.002614
1971-10,7.58,-0.006553,-0.014304
1971-10,7.63,0.006596,-0.003916
1971-11,7.59,-0.005242,-0.018111
1971-11,7.56,-0.003953,-0.019455
1971-11,7.54,-0.002646,-0.019506
1971-11,7.51,-0.003979,-0.02594
1971-12,7.49,-0.002663,-0.023468
1971-12,7.47,-0.00267,-0.02987
1971-12,7.48,0.001339,-0.024772
1971-12,7.48,0.0,-0.024772
1971-12,7.48,0.0,-0.019659
1972-01,7.46,-0.002674,-0.02228
1972-01,7.46,0.0,-0.015831
1972-01,7.43,-0.004021,-0.026212
1972-01,7.4,-0.004038,-0.025033
1972-02,7.35,-0.006757,-0.027778
1972-02,7.33,-0.002721,-0.027851
1972-02,7.31,-0.002729,-0.026631
1972-02,7.31,0.0,-0.024032
1972-03,7.32,0.001368,-0.02008
1972-03,7.32,0.0,-0.02139
1972-03,7.31,-0.001366,-0.022727
1972-03,7.31,0.0,-0.022727
1972-03,7.23,-0.010944,-0.030831
1972-04,7.25,0.002766,-0.02815
1972-04,7.29,0.005517,-0.018843
1972-04,7.29,0.0,-0.014865
1972-04,7.33,0.005487,-0.002721
1972-05,7.33,0.0,0.0
1972-05,7.38,0.006821,0.009576
1972-05,7.38,0.0,0.009576
1972-05,7.4,0.00271,0.010929
1972-06,7.36,-0.005405,0.005464
1972-06,7.38,0.002717,0.009576
1972-06,7.38,0.0,0.009576
1972-06,7.36,-0.00271,0.017981
1972-06,7.38,0.002717,0.017931
1972-07,7.38,0.0,0.012346
1972-07,7.4,0.00271,0.015089
1972-07,7.4,0.0,0.00955
1972-08,7.35,-0.006757,-0.004065
1972-08,7.41,0.008163,0.004065
1972-08,7.42,0.00135,0.002703
1972-08,7.42,0.0,0.008152
1972-09,7.42,0.0,0.00542
1972-09,7.42,0.0,0.008152
1972-09,7.41,-0.001348,0.004065
1972-09,7.43,0.002699,0.006775
1972-10,7.41,-0.002692,0.001351
1972-10,7.41,0.0,0.001351
1972-10,7.44,0.004049,0.005405
1972-10,7.42,-0.002688,0.009524
1972-11,7.43,0.001348,0.002699
1972-11,7.42,-0.001346,0.0
1972-11,7.42,0.0,0.0
1972-11,7.44,0.002695,0.002695
1972-12,7.45,0.001344,0.004043
1972-12,7.43,-0.002685,0.001348
1972-12,7.43,0.0,0.002699
1972-12,7.45,0.002692,0.002692
1972-12,7.45,0.0,0.005398
1973-01,7.44,-0.001342,0.004049
1973-01,7.44,0.0,0.0
1973-01,7.44,0.0,0.002695
1973-01,7.43,-0.001344,0.0
1973-02,7.43,0.0,0.001348
1973-02,7.45,0.002692,0.001344
1973-02,7.45,0.0,0.0
1973-03,7.45,0.0,0.002692
1973-03,7.45,0.0,0.0
1973-03,7.49,0.005369,0.00672
1973-04,7.51,0.00267,0.009409
1973-04,7.54,0.003995,0.013441
1973-04,7.56,0.002653,0.017497
1973-04,7.56,0.0,0.017497
1973-05,7.58,0.002646,0.020188
1973-05,7.64,0.007916,0.025503
1973-05,7.69,0.006545,0.032215
1973-05,7.7,0.0013,0.033557
1973-06,7.7,0.0,0.033557
1973-06,7.73,0.003896,0.037584
1973-06,7.73,0.0,0.037584
1973-06,7.75,0.002587,0.034713
1973-06,7.76,0.00129,0.033289
1973-07,7.89,0.016753,0.046419
1973-07,8.01,0.015209,0.059524
1973-07,8.12,0.013733,0.074074
1973-07,8.18,0.007389,0.079156
1973-08,8.26,0.00978,0.081152
1973-08,8.4,0.016949,0.092328
1973-08,8.55,0.017857,0.11039
1973-08,8.61,0.007018,0.118182
1973-08,8.66,0.005807,0.12031
1973-09,8.77,0.012702,0.134541
1973-09,8.81,0.004561,0.136774
1973-09,8.83,0.00227,0.137887
1973-09,8.85,0.002265,0.121673
1973-10,8.82,-0.00339,0.101124
1973-10,8.83,0.001134,0.087438
1973-10,8.75,-0.00906,0.069682
1973-10,8.68,-0.008,0.050847
1973-11,8.62,-0.006912,0.02619
1973-11,8.59,-0.00348,0.004678
1973-11,8.58,-0.001164,-0.003484
1973-11,8.57,-0.001166,-0.010393
1973-11,8.55,-0.002334,-0.025086
1973-12,8.53,-0.002339,-0.031782
1973-12,8.53,0.0,-0.033975
1973-12,8.53,0.0,-0.036158
1973-12,8.56,0.003517,-0.029478
1974-01,8.56,0.0,-0.030578
1974-01,8.53,-0.003505,-0.025143
1974-01,8.55,0.002345,-0.014977
1974-01,8.52,-0.003509,-0.011601
1974-02,8.48,-0.004695,-0.012806
1974-02,8.46,-0.002358,-0.013986
1974-02,8.46,0.0,-0.012835
1974-02,8.42,-0.004728,-0.015205
1974-03,8.41,-0.001188,-0.014068
1974-03,8.41,0.0,-0.014068
1974-03,8.4,-0.001189,-0.01524
1974-03,8.4,0.0,-0.018692
1974-03,8.41,0.00119,-0.017523
1974-04,8.44,0.003567,-0.010551
1974-04,8.53,0.010664,-0.002339
1974-04,8.63,0.011723,0.012911
1974-04,8.73,0.011587,0.029481
1974-05,8.87,0.016037,0.048463
1974-05,8.98,0.012401,0.061466
1974-05,8.97,-0.001114,0.065321
1974-05,9.01,0.004459,0.071344
1974-05,9.03,0.00222,0.073722
1974-06,9.06,0.003322,0.078571
1974-06,9.11,0.005519,0.084524
1974-06,9.07,-0.004391,0.078478
1974-06,9.1,0.003308,0.078199
1974-07,9.14,0.004396,0.071512
1974-07,9.19,0.00547,0.06489
1974-07,9.37,0.019587,0.07331
1974-07,9.42,0.005336,0.062007
1974-08,9.47,0.005308,0.054566
1974-08,9.5,0.003168,0.059086
1974-08,9.6,0.010526,0.065483
1974-08,9.62,0.002083,0.065338
1974-08,9.74,0.012474,0.075055
1974-09,9.88,0.014374,0.084523
1974-09,9.92,0.004049,0.093716
1974-09,10.0,0.008065,0.098901
1974-09,10.03,0.003,0.097374
1974-10,10.02,-0.000997,0.090316
1974-10,9.96,-0.005988,0.062967
1974-10,9.99,0.003012,0.06051
1974-10,9.94,-0.005005,0.04963
1974-11,9.87,-0.007042,0.038947
1974-11,9.81,-0.006079,0.021875
1974-11,9.81,0.0,0.019751
1974-11,9.73,-0.008155,-0.001027
1974-11,9.72,-0.001028,-0.016194
1974-12,9.69,-0.003086,-0.023185
1974-12,9.63,-0.006192,-0.037
1974-12,9.58,-0.005192,-0.044865
1974-12,9.56,-0.002088,-0.045908
1975-01,9.6,0.004184,-0.036145
1975-01,9.49,-0.011458,-0.05005
1975-01,9.43,-0.006322,-0.051308
1975-01,9.35,-0.008484,-0.052685
1975-01,9.29,-0.006417,-0.053007
1975-02,9.2,-0.009688,-0.062181
1975-02,9.13,-0.007609,-0.061665
1975-02,9.07,-0.006572,-0.066872
1975-02,9.02,-0.005513,-0.069143
1975-03,9.0,-0.002217,-0.065421
1975-03,8.89,-0.012222,-0.072025
1975-03,8.86,-0.003375,-0.073222
1975-03,8.86,0.0,-0.077083
1975-04,8.83,-0.003386,-0.069547
1975-04,8.81,-0.002265,-0.065748
1975-04,8.8,-0.001135,-0.058824
1975-04,8.84,0.004545,-0.048439
1975-05,8.92,0.00905,-0.030435
1975-05,8.88,-0.004484,-0.027382
1975-05,8.92,0.004505,-0.016538
1975-05,8.92,0.0,-0.011086
1975-05,8.89,-0.003363,-0.012222
1975-06,8.89,0.0,0.0
1975-06,8.9,0.001125,0.004515
1975-06,8.88,-0.002247,0.002257
1975-06,8.9,0.002252,0.007928
1975-07,8.88,-0.002247,0.007946
1975-07,8.9,0.002252,0.011364
1975-07,8.89,-0.001124,0.005656
1975-07,8.89,0.0,-0.003363
1975-08,8.89,0.0,0.001126
1975-08,8.89,0.0,-0.003363
1975-08,8.93,0.004499,0.001121
1975-08,8.98,0.005599,0.010124
1975-08,9.02,0.004454,0.014623
1975-09,9.08,0.006652,0.020225
1975-09,9.16,0.008811,0.031532
1975-09,9.14,-0.002183,0.026966
1975-09,9.14,0.0,0.029279
1975-10,9.2,0.006565,0.033708
1975-10,9.21,0.001087,0.035996
1975-10,9.21,0.0,0.035996
1975-10,9.26,0.005429,0.04162
1975-10,9.24,-0.00216,0.03937
1975-11,9.19,-0.005411,0.029115
1975-11,9.16,-0.003264,0.020045
1975-11,9.12,-0.004367,0.011086
1975-11,9.11,-0.001096,0.003304
1975-12,9.11,0.0,-0.005459
1975-12,9.11,0.0,-0.003282
1975-12,9.08,-0.003293,-0.006565
1975-12,9.09,0.001101,-0.011957
1976-01,9.1,0.0011,-0.011944
1976-01,9.07,-0.003297,-0.015201
1976-01,9.01,-0.006615,-0.026998
1976-01,9.0,-0.00111,-0.025974
1976-01,8.9,-0.011111,-0.031556
1976-02,8.86,-0.004494,-0.032751
1976-02,8.83,-0.003386,-0.031798
1976-02,8.81,-0.002265,-0.032931
1976-02,8.75,-0.00681,-0.039517
1976-03,8.77,0.002286,-0.037322
1976-03,8.75,-0.002281,-0.036344
1976-03,8.75,0.0,-0.037404
1976-03,8.75,0.0,-0.038462
1976-04,8.7,-0.005714,-0.040794
1976-04,8.7,0.0,-0.034406
1976-04,8.75,0.005747,-0.027778
1976-04,8.75,0.0,-0.016854
1976-04,8.75,0.0,-0.012415
1976-05,8.75,0.0,-0.00906
1976-05,8.75,0.0,-0.00681
1976-05,8.78,0.003429,0.003429
1976-05,8.78,0.0,0.00114
1976-06,8.78,0.0,0.003429
1976-06,8.83,0.005695,0.009143
1976-06,8.88,0.005663,0.014857
1976-06,8.9,0.002252,0.022989
1976-07,8.93,0.003371,0.026437
1976-07,8.93,0.0,0.020571
1976-07,8.9,-0.003359,0.017143
1976-07,8.98,0.008989,0.026286
1976-08,9.0,0.002227,0.028571
1976-08,9.0,0.0,0.025057
1976-09,9.0,0.0,0.019253
1976-09,8.97,-0.003333,0.010135
1976-09,8.97,0.0,0.007865
1976-09,8.97,0.0,0.004479
1976-10,8.9,-0.007804,-0.003359
1976-10,8.95,0.005618,0.00224
1976-10,8.95,0.0,0.005618
1976-10,8.95,0.0,-0.003341
1976-10,8.9,-0.005587,-0.011111
1976-11,8.85,-0.005618,-0.016667
1976-11,8.8,-0.00565,-0.022222
1976-11,8.8,0.0,-0.022222
1976-12,8.8,0.0,-0.018952
1976-12,8.78,-0.002273,-0.013483
1976-12,8.78,0.0,-0.018994
1977-01,8.7,-0.009112,-0.027933
1977-01,8.73,0.003448,-0.024581
1977-01,8.73,0.0,-0.019101
1977-01,8.73,0.0,-0.013559
1977-02,8.68,-0.005727,-0.013636
1977-02,8.7,0.002304,-0.011364
1977-02,8.65,-0.005747,-0.017045
1977-02,8.65,0.0,-0.017045
1977-03,8.65,0.0,-0.017045
1977-03,8.7,0.00578,-0.011364
1977-03,8.7,0.0,-0.009112
1977-04,8.7,0.0,0.0
1977-04,8.75,0.005747,0.002291
1977-04,8.75,0.0,0.002291
1977-04,8.78,0.003429,0.005727
1977-04,8.78,0.0,0.011521
1977-05,8.78,0.0,0.009195
1977-05,8.83,0.005695,0.020809
1977-05,8.85,0.002265,0.023121
1977-05,8.85,0.0,0.023121
1977-06,8.85,0.0,0.017241
1977-06,8.88,0.00339,0.02069
1977-07,8.95,0.007883,0.022857
1977-07,8.93,-0.002235,0.020571
1977-07,8.95,0.00224,0.019362
1977-07,8.95,0.0,0.019362
1977-07,8.93,-0.002235,0.017084
1977-08,8.95,0.00224,0.01359
1977-08,8.95,0.0,0.011299
1977-08,8.93,-0.002235,0.00904
1977-08,8.93,0.0,0.00904
1977-09,8.88,-0.005599,0.00339
1977-09,8.9,0.002252,0.00565
1977-09,8.9,0.0,0.002252
1977-09,8.9,0.0,-0.005587
1977-09,8.9,0.0,-0.003359
1977-10,8.93,0.003371,-0.002235
1977-10,8.93,0.0,-0.002235
1977-10,8.93,0.0,0.0
1977-10,8.9,-0.003359,-0.005587
1977-11,8.9,0.0,-0.005587
1977-11,8.93,0.003371,0.0
1977-11,8.93,0.0,0.0
1977-11,8.93,0.0,0.005631
1977-12,8.95,0.00224,0.005618
1977-12,8.95,0.0,0.005618
1977-12,9.0,0.005587,0.007839
1978-01,9.0,0.0,0.007839
1978-01,9.03,0.003333,0.011198
1978-01,8.98,-0.005537,0.008989
1978-01,9.05,0.007795,0.016854
1978-02,9.13,0.00884,0.022396
1978-02,9.15,0.002191,0.024636
1978-02,9.15,0.0,0.024636
1978-02,9.15,0.0,0.022346
1978-03,9.15,0.0,0.022346
1978-03,9.23,0.008743,0.031285
1978-03,9.23,0.0,0.025556
1978-03,9.25,0.002167,0.027778
1978-04,9.28,0.003243,0.027685
1978-04,9.33,0.005388,0.038976
1978-04,9.38,0.005359,0.036464
1978-04,9.43,0.00533,0.032859
1978-05,9.48,0.005302,0.036066
1978-05,9.55,0.007384,0.043716
1978-05,9.58,0.003141,0.046995
1978-05,9.68,0.010438,0.057923
1978-06,9.68,0.0,0.057923
1978-06,9.7,0.002066,0.050921
1978-06,9.73,0.003093,0.054171
1978-06,9.7,-0.003083,0.048649
1978-06,9.73,0.003093,0.048491
1978-07,9.73,0.0,0.042872
1978-07,9.73,0.0,0.037313
1978-07,9.75,0.002055,0.033934
1978-07,9.75,0.0,0.028481
1978-08,9.78,0.003077,0.024084
1978-08,9.78,0.0,0.020877
1978-08,9.78,0.0,0.010331
1978-08,9.8,0.002045,0.012397
1978-09,9.75,-0.005102,0.005155
1978-09,9.75,0.0,0.002055
1978-09,9.75,0.0,0.005155
1978-09,9.78,0.003077,0.005139
1978-10,9.85,0.007157,0.012333
1978-10,9.85,0.0,0.010256
1978-10,9.88,0.003046,0.010225
1978-11,9.9,0.002024,0.01227
1978-11,10.05,0.015152,0.027607
1978-11,10.2,0.014925,0.040816
1978-11,10.28,0.007843,0.054359
1978-12,10.3,0.001946,0.05641
1978-12,10.35,0.004854,0.061538
1978-12,10.35,0.0,0.061538
1978-12,10.35,0.0,0.058282
1978-12,10.38,0.002899,0.053807
1979-01,10.38,0.0,0.053807
1979-01,10.4,0.001927,0.052632
1979-01,10.4,0.0,0.050505
1979-02,10.4,0.0,0.034826
1979-02,10.43,0.002885,0.022549
1979-02,10.4,-0.002876,0.011673
1979-02,10.4,0.0,0.009709
1979-03,10.43,0.002885,0.007729
1979-03,10.4,-0.002876,0.004831
1979-03,10.4,0.0,0.004831
1979-03,10.45,0.004808,0.006744
1979-03,10.45,0.0,0.006744
1979-04,10.48,0.002871,0.009634
1979-04,10.48,0.0,0.007692
1979-04,10.5,0.001908,0.009615
1979-04,10.53,0.002857,0.0125
1979-05,10.6,0.006648,0.016299
1979-05,10.68,0.007547,0.026923
1979-05,10.73,0.004682,0.031731
1979-05,10.75,0.001864,0.030681
1979-06,10.9,0.013953,0.048077
1979-06,11.03,0.011927,0.060577
1979-06,11.05,0.001813,0.057416
1979-06,11.1,0.004525,0.062201
1979-06,11.1,0.0,0.05916
1979-07,11.13,0.002703,0.062023
1979-07,11.08,-0.004492,0.055238
1979-07,11.08,0.0,0.052232
1979-07,11.08,0.0,0.045283
1979-08,11.08,0.0,0.037453
1979-08,11.08,0.0,0.032619
1979-08,11.08,0.0,0.030698
1979-08,11.1,0.001805,0.018349
1979-08,11.13,0.002703,0.009066
1979-09,11.2,0.006289,0.013575
1979-09,11.3,0.008929,0.018018
1979-09,11.35,0.004425,0.022523
1979-09,11.35,0.0,0.019766
1979-10,11.35,0.0,0.024368
1979-10,11.45,0.008811,0.033394
1979-10,11.75,0.026201,0.060469
1979-10,12.0,0.021277,0.083032
1979-11,12.8,0.066667,0.155235
1979-11,12.85,0.003906,0.159747
1979-11,12.8,-0.003891,0.153153
1979-11,12.8,0.0,0.150045
1979-11,12.9,0.007812,0.151786
1979-12,12.9,0.0,0.141593
1979-12,12.9,0.0,0.136564
1980-01,12.85,-0.003876,0.122271
1980-01,12.9,0.003891,0.097872
1980-01,12.87,-0.002326,0.0725
1980-01,12.89,0.001554,0.007031
1980-02,12.85,-0.003103,0.0
1980-02,12.85,0.0,0.003906
1980-02,12.88,0.002335,0.00625
1980-02,13.03,0.011646,0.010078
1980-02,13.59,0.042978,0.053488
1980-03,14.0,0.030169,0.085271
1980-03,15.4,0.1,0.193798
1980-03,15.7,0.019481,0.217054
1980-03,16.03,0.021019,0.247471
1980-04,16.35,0.019963,0.267442
1980-04,16.35,0.0,0.270396
1980-04,16.35,0.0,0.268425
1980-04,16.25,-0.006116,0.264591
1980-05,15.9,-0.021538,0.237354
1980-05,14.68,-0.07673,0.139752
1980-05,14.15,-0.036104,0.085955
1980-05,13.38,-0.054417,-0.015453
1980-05,13.2,-0.013453,-0.057143
1980-06,13.06,-0.010606,-0.151948
1980-06,12.85,-0.01608,-0.181529
1980-06,12.58,-0.021012,-0.215221
1980-06,12.35,-0.018283,-0.244648
1980-07,12.18,-0.013765,-0.255046
1980-07,12.23,0.004105,-0.251988
1980-07,12.18,-0.004088,-0.250462
1980-07,12.18,0.0,-0.233962
1980-08,12.25,0.005747,-0.165531
1980-08,12.25,0.0,-0.134276
1980-08,12.55,0.02449,-0.062033
1980-08,12.8,0.01992,-0.030303
1980-08,12.95,0.011719,-0.008423
1980-09,13.03,0.006178,0.014008
1980-09,13.08,0.003837,0.039746
1980-09,13.25,0.012997,0.072874
1980-09,13.43,0.013585,0.102627
1980-10,13.6,0.012658,0.11202
1980-10,13.73,0.009559,0.127258
1980-10,13.78,0.003642,0.131363
1980-10,13.85,0.00508,0.130612
1980-10,14.0,0.01083,0.142857
1980-11,14.08,0.005714,0.121912
1980-11,14.18,0.007102,0.107812
1980-11,14.28,0.007052,0.102703
1980-11,14.28,0.0,0.095932
1980-12,14.43,0.010504,0.103211
1980-12,14.83,0.02772,0.119245
1980-12,14.95,0.008092,0.113179
1980-12,14.95,0.0,0.099265
1981-01,14.95,0.0,0.088857
1981-01,14.8,-0.010033,0.07402
1981-01,14.85,0.003378,0.072202
1981-01,14.85,0.0,0.060714
1981-01,15.07,0.014815,0.070312
1981-02,15.0,-0.004645,0.057828
1981-02,15.03,0.002,0.052521
1981-02,15.2,0.011311,0.064426
1981-02,15.3,0.006579,0.060291
1981-03,15.4,0.006536,0.038436
1981-03,15.4,0.0,0.0301
1981-04,15.4,0.0,0.040541
1981-04,15.5,0.006494,0.043771
1981-04,15.65,0.009677,0.053872
1981-04,15.77,0.007668,0.04645
1981-05,15.82,0.003171,0.054667
