Date,Value,ChangePercentMonth,ChangePercentYear
1959-01,306.1,,
1959-02,309.6,0.011434,
1959-03,312.7,0.010013,
1959-04,312.2,-0.001599,
1959-05,316.1,0.012492,
1959-06,318.2,0.006643,
1959-07,317.8,-0.001257,
1959-08,320.2,0.007552,
1959-09,324.2,0.012492,
1959-10,322.8,-0.004318,
1959-11,322.9,0.00031,
1959-12,322.9,0.0,
1960-01,323.6,0.002168,0.057171
1960-02,325.3,0.005253,0.050711
1960-03,330.2,0.015063,0.055964
1960-04,336.5,0.019079,0.077835
1960-05,330.0,-0.019316,0.043973
1960-06,330.1,0.000303,0.037398
1960-07,331.4,0.003938,0.042794
1960-08,331.6,0.000604,0.035603
1960-09,333.4,0.005428,0.028378
1960-10,335.4,0.005999,0.039033
1960-11,335.4,0.0,0.038712
1960-12,331.3,-0.012224,0.026014
1961-01,332.2,0.002717,0.026576
1961-02,333.7,0.004515,0.025822
1961-03,337.7,0.011987,0.022714
1961-04,337.6,-0.000296,0.003269
1961-05,339.9,0.006813,0.03
1961-06,340.9,0.002942,0.032717
1961-07,340.6,-0.00088,0.027761
1961-08,342.1,0.004404,0.031665
1961-09,344.4,0.006723,0.032993
1961-10,346.5,0.006098,0.033095
1961-11,349.9,0.009812,0.043232
1961-12,352.4,0.007145,0.063688
1962-01,353.2,0.00227,0.063215
1962-02,354.0,0.002265,0.060833
1962-03,357.4,0.009605,0.058336
1962-04,359.0,0.004477,0.063389
1962-05,362.0,0.008357,0.065019
1962-06,360.4,-0.00442,0.057202
1962-07,361.4,0.002775,0.061069
1962-08,362.9,0.004151,0.060801
1962-09,368.8,0.016258,0.070848
1962-10,366.5,-0.006236,0.05772
1962-11,371.7,0.014188,0.062304
1962-12,373.6,0.005112,0.060159
1963-01,374.4,0.002141,0.060023
1963-02,373.4,-0.002671,0.054802
1963-03,375.0,0.004285,0.049245
1963-04,376.4,0.003733,0.048468
1963-05,377.2,0.002125,0.041989
1963-06,381.7,0.01193,0.059101
1963-07,384.4,0.007074,0.063641
1963-08,386.3,0.004943,0.064481
1963-09,385.5,-0.002071,0.045282
1963-10,386.0,0.001297,0.053206
1963-11,389.4,0.008808,0.047619
1963-12,394.7,0.013611,0.056478
1964-01,396.8,0.00532,0.059829
1964-02,400.2,0.008569,0.071773
1964-03,401.8,0.003998,0.071467
1964-04,402.8,0.002489,0.070138
1964-05,408.4,0.013903,0.082715
1964-06,411.4,0.007346,0.07781
1964-07,414.9,0.008508,0.079344
1964-08,417.7,0.006749,0.081284
1964-09,416.6,-0.002633,0.080674
1964-10,419.6,0.007201,0.087047
1964-11,416.4,-0.007626,0.069337
1964-12,421.0,0.011047,0.066633
1965-01,424.4,0.008076,0.069556
1965-02,431.4,0.016494,0.077961
1965-03,433.3,0.004404,0.078397
1965-04,437.1,0.00877,0.085154
1965-05,437.6,0.001144,0.071499
1965-06,435.2,-0.005484,0.057851
1965-07,441.0,0.013327,0.062907
1965-08,444.4,0.00771,0.063921
1965-09,452.0,0.017102,0.084974
1965-10,458.5,0.014381,0.092707
1965-11,459.1,0.001309,0.102546
1965-12,461.7,0.005663,0.096675
1966-01,465.2,0.007581,0.096136
1966-02,470.2,0.010748,0.08994
1966-03,475.0,0.010208,0.096238
1966-04,476.9,0.004,0.091055
1966-05,473.1,-0.007968,0.081124
1966-06,475.5,0.005073,0.092601
1966-07,480.6,0.010726,0.089796
1966-08,483.2,0.00541,0.087309
1966-09,489.2,0.012417,0.082301
1966-10,488.3,-0.00184,0.064995
1966-11,490.1,0.003686,0.067523
1966-12,491.8,0.003469,0.065194
1967-01,494.2,0.00488,0.062339
1967-02,493.0,-0.002428,0.04849
1967-03,495.8,0.00568,0.043789
1967-04,501.3,0.011093,0.051164
1967-05,502.2,0.001795,0.061509
1967-06,506.8,0.00916,0.065825
1967-07,506.7,-0.000197,0.054307
1967-08,509.8,0.006118,0.05505
1967-09,515.6,0.011377,0.053966
1967-10,512.2,-0.006594,0.048945
1967-11,517.4,0.010152,0.055703
1967-12,525.1,0.014882,0.06771
1968-01,530.9,0.011046,0.074261
1968-02,533.6,0.005086,0.082353
